...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score,verb_correct_delta,verb_correct_delta2
43,4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок,был брошен из-под длинных опущенных ресниц.,1.104814,-5.4636993,6.5685133,1.104814
45,6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки,был брошен из-под длинных опущенных ресниц.,1.2857567,-4.3917704,5.677527100000001,1.2857567
47,8,6,1,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок,был брошен из-под длинных опущенных ресниц.,-1.2638556,2.8356228,4.0994784,2.8356228
48,1,7,1,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки,было принято без излишне бурных эмоций.,-1.6287661,1.7763638,3.4051299,1.7763638
50,3,7,1,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек,было принято без излишне бурных эмоций.,-0.2734156,-3.1124158,2.8390002,-0.2734156
52,5,7,1,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки,было принято без излишне бурных эмоций.,-0.6547783,-1.0941485,0.43937019999999993,-0.6547783
54,7,7,1,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек,было принято без излишне бурных эмоций.,-2.2592819,0.6388983,2.8981802,0.6388983
57,2,8,1,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель,был неточным из-за сбитого прицела ружья.,0.81176007,-4.9054437,5.71720377,0.81176007
59,4,8,1,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели,был неточным из-за сбитого прицела ружья.,0.5187955,-3.9271646,4.4459601,0.5187955
61,6,8,1,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель,был неточным из-за сбитого прицела ружья.,-2.8866394,0.77392614,3.66056554,0.77392614
63,8,8,1,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели,был неточным из-за сбитого прицела ружья.,-2.5334544,-0.106060326,2.427394074,-0.106060326
64,1,9,1,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес,была проложена для снабжения людей провизией.,3.4655337,-2.845418,6.3109517,3.4655337
66,3,9,1,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса,была проложена для снабжения людей провизией.,1.8302642,-3.4602675,5.2905317,1.8302642
68,5,9,1,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес,была проложена для снабжения людей провизией.,0.50857663,3.839278,3.3307013700000003,3.839278
70,7,9,1,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса,была проложена для снабжения людей провизией.,-0.5370524,3.4528086,3.989861,3.4528086
73,2,10,1,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли,была тихой из-за нарушения дыхания пациента.,3.3116937,-1.2911174,4.6028111,3.3116937
75,4,10,1,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль,была тихой из-за нарушения дыхания пациента.,-1.3207029,2.463767,3.7844698999999995,2.463767
77,6,10,1,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли,была тихой из-за нарушения дыхания пациента.,-0.9348711,2.5681365,3.5030076,2.5681365
79,8,10,1,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль,была тихой из-за нарушения дыхания пациента.,2.0552092,-3.8003206,5.8555298,2.0552092
80,1,11,1,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства,была рассказана в присутствии маленьких детей.,2.3520188,-2.5374765,4.8894953,2.3520188
82,3,11,1,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.,Истории про убийство,была рассказана в присутствии маленьких детей.,-1.4361546,-1.6530685,-0.2169139,-1.6530685
84,5,11,1,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.,Истории про убийства,была рассказана в присутствии маленьких детей.,-1.0799972,1.6976204,2.7776176,1.6976204
86,7,11,1,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.,История про убийство,была рассказана в присутствии маленьких детей.,1.4365001,-3.2305264,4.6670265,1.4365001
89,2,12,1,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.,Тропинки через луг,была протоптана во время деревенской ярмарки.,-0.6208007,1.6179485,2.2387492,1.6179485
91,4,12,1,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.,Тропинки через луга,была протоптана во время деревенской ярмарки.,-0.8117727,3.004236,3.8160087000000003,3.004236
93,6,12,1,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.,Тропинка через луг,была протоптана во время деревенской ярмарки.,3.6105225,-5.4724693,9.0829918,3.6105225
95,8,12,1,S,P,S,S_S-P,Тропинка через луга была протоптана во время деревенской ярмарки.,Тропинка через луга,была протоптана во время деревенской ярмарки.,4.646114,-3.3516903,7.9978043,4.646114
96,1,13,1,P,S,S,S_P-S,Кружева на наряд было упаковано в вышитый шёлковый мешочек.,Кружева на наряд,было упаковано в вышитый шёлковый мешочек.,-1.5102551,-0.031127512,1.4791275879999999,-0.031127512
98,3,13,1,P,P,S,S_P-P,Кружева на наряды было упаковано в вышитый шёлковый мешочек.,Кружева на наряды,было упаковано в вышитый шёлковый мешочек.,-1.5300871,2.401144,3.9312310999999998,2.401144
100,5,13,1,S,S,S,S_S-S,Кружево на наряд было упаковано в вышитый шёлковый мешочек.,Кружево на наряд,было упаковано в вышитый шёлковый мешочек.,0.38980195,-2.1969543,2.5867562499999996,0.38980195
102,7,13,1,S,P,S,S_S-P,Кружево на наряды было упаковано в вышитый шёлковый мешочек.,Кружево на наряды,было упаковано в вышитый шёлковый мешочек.,0.6716155,0.11280677,0.55880873,0.6716155
105,2,14,1,P,P,S,S_P-P,Легенды про замки была записана в старинной летописи графства.,Легенды про замки,была записана в старинной летописи графства.,-1.6952779,0.953717,2.6489949,0.953717
107,4,14,1,S,S,S,S_S-S,Легенда про замок была записана в старинной летописи графства.,Легенда про замок,была записана в старинной летописи графства.,0.19500789,-4.821574,5.01658189,0.19500789
109,6,14,1,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.,Легенда про замки,была записана в старинной летописи графства.,1.2552571,-2.4563398,3.7115969,1.2552571
111,8,14,1,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.,Легенды про замок,была записана в старинной летописи графства.,-2.0481231,-0.09343815,1.9546849500000003,-0.09343815
112,1,15,1,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.,Лестницы в подвалы,была крутой из-за отсутствия свободного места.,-2.5522,1.2536246,3.8058246000000002,1.2536246
114,3,15,1,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.,Лестница в подвал,была крутой из-за отсутствия свободного места.,2.388242,-4.406683,6.794925,2.388242
116,5,15,1,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы,была крутой из-за отсутствия свободного места.,1.7234957,-2.8078752,4.5313709,1.7234957
118,7,15,1,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал,была крутой из-за отсутствия свободного места.,-1.3715318,0.88497025,2.25650205,0.88497025
121,2,16,1,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг,был возведён после окончания военных действий.,2.526889,-1.511272,4.0381610000000006,2.526889
123,4,16,1,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги,был возведён после окончания военных действий.,3.0751982,0.0856691,2.9895291,3.0751982
125,6,16,1,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг,был возведён после окончания военных действий.,-0.5770743,4.005789,4.5828633,4.005789
127,8,16,1,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги,был возведён после окончания военных действий.,-0.3108077,3.0684419,3.3792495999999996,3.0684419
128,1,17,1,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход,был повышен из-за смены политического курса.,0.8444586,-3.6880023,4.5324609,0.8444586
130,3,17,1,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,1.9219232,-2.7148328,4.636756,1.9219232
132,5,17,1,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,-1.9711641,-1.0362858,0.9348783,-1.0362858
134,7,17,1,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,-2.3816323,-0.7768019,1.6048304,-0.7768019
137,2,18,1,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия.,Нападение на банки,было совершено с применением холодного оружия.,2.2046914,-2.223175,4.4278664,2.2046914
139,4,18,1,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия.,Нападения на банк,было совершено с применением холодного оружия.,1.5315878,1.2813916,-0.2501962,1.2813916
141,6,18,1,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия.,Нападения на банки,было совершено с применением холодного оружия.,-0.83763117,1.6443874,2.48201857,1.6443874
143,8,18,1,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия.,Нападение на банк,было совершено с применением холодного оружия.,3.360503,-3.947284,7.307786999999999,3.360503
144,1,19,1,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,1.373351,-1.73002,3.103371,1.373351
146,3,19,1,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,-0.27164543,3.3173416,3.5889870299999997,3.3173416
148,5,19,1,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,-1.1984255,1.9037008,3.1021263,1.9037008
150,7,19,1,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,3.6974244,-3.1106348,6.808059200000001,3.6974244
153,2,20,1,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.,Ответы на вопрос,был неверным из-за недостаточного знания материала.,-1.7021163,-0.4209761,1.2811401999999998,-0.4209761
155,4,20,1,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.,Ответы на вопросы,был неверным из-за недостаточного знания материала.,-0.7054851,-0.15641667,0.5490684299999999,-0.15641667
157,6,20,1,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.,Ответ на вопрос,был неверным из-за недостаточного знания материала.,1.0993669,-5.448855,6.5482219,1.0993669
159,8,20,1,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.,Ответ на вопросы,был неверным из-за недостаточного знания материала.,1.6888344,-3.487766,5.1766004,1.6888344
160,1,21,1,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.,Очереди в театр,была бесконечной из-за большого наплыва туристов.,-0.04778145,2.2436588,2.29144025,2.2436588
162,3,21,1,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.,Очереди в театры,была бесконечной из-за большого наплыва туристов.,-0.26766098,3.3900537,3.65771468,3.3900537
164,5,21,1,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.,Очередь в театр,была бесконечной из-за большого наплыва туристов.,2.5472252,-3.0759678,5.6231930000000006,2.5472252
166,7,21,1,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.,Очередь в театры,была бесконечной из-за большого наплыва туристов.,3.657292,-1.0375133,4.6948053000000005,3.657292
169,2,22,1,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.,Переправы через ручьи,была опасной из-за тяжёлых погодных условий.,-0.56895804,3.2069082,3.77586624,3.2069082
171,4,22,1,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.,Переправа через ручей,была опасной из-за тяжёлых погодных условий.,3.0878372,-1.9455932,5.0334304,3.0878372
173,6,22,1,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.,Переправа через ручьи,была опасной из-за тяжёлых погодных условий.,3.0604978,-1.6261305,4.6866283,3.0604978
175,8,22,1,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.,Переправы через ручей,была опасной из-за тяжёлых погодных условий.,2.0463557,3.1655831,1.1192274000000002,3.1655831
176,1,23,1,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.,Песни про поезда,была грустной для большинства отставных машинистов.,-0.4348666,1.7001212,2.1349878,1.7001212
178,3,23,1,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.,Песня про поезд,была грустной для большинства отставных машинистов.,0.32725143,-4.241166,4.56841743,0.32725143
180,5,23,1,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.,Песня про поезда,была грустной для большинства отставных машинистов.,2.1160567,-2.2180648,4.3341215,2.1160567
182,7,23,1,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.,Песни про поезд,была грустной для большинства отставных машинистов.,-0.8541035,0.627687,1.4817905,0.627687
185,2,24,1,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.,Письмо про поход,было отправлено из маленького сибирского посёлка.,1.8969549,-2.166783,4.0637379000000005,1.8969549
187,4,24,1,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.,Письмо про походы,было отправлено из маленького сибирского посёлка.,1.5898154,-0.5715727,2.1613881,1.5898154
189,6,24,1,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.,Письма про поход,было отправлено из маленького сибирского посёлка.,-0.5965576,1.3843117,1.9808693000000002,1.3843117
191,8,24,1,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.,Письма про походы,было отправлено из маленького сибирского посёлка.,-1.3704007,1.5144979,2.8848986,1.5144979
192,1,25,1,S,S,S,S_S-S,План на выходной был разрушен из-за визита назойливых родственников.,План на выходной,был разрушен из-за визита назойливых родственников.,2.4165015,-1.7628789,4.179380399999999,2.4165015
194,3,25,1,S,P,S,S_S-P,План на выходные был разрушен из-за визита назойливых родственников.,План на выходные,был разрушен из-за визита назойливых родственников.,3.026158,-2.1125839,5.1387419,3.026158
196,5,25,1,P,S,S,S_P-S,Планы на выходной был разрушен из-за визита назойливых родственников.,Планы на выходной,был разрушен из-за визита назойливых родственников.,-0.794387,2.986117,3.780504,2.986117
198,7,25,1,P,P,S,S_P-P,Планы на выходные был разрушен из-за визита назойливых родственников.,Планы на выходные,был разрушен из-за визита назойливых родственников.,-1.7053692,2.4037542,4.1091234,2.4037542
201,2,26,1,S,P,S,S_S-P,Поездка на острова была незабываемой для молодых влюблённых студентов.,Поездка на острова,была незабываемой для молодых влюблённых студентов.,0.77798676,-6.0293202,6.80730696,0.77798676
203,4,26,1,P,S,S,S_P-S,Поездки на остров была незабываемой для молодых влюблённых студентов.,Поездки на остров,была незабываемой для молодых влюблённых студентов.,-2.432278,-1.0762674,1.3560106,-1.0762674
205,6,26,1,P,P,S,S_P-P,Поездки на острова была незабываемой для молодых влюблённых студентов.,Поездки на острова,была незабываемой для молодых влюблённых студентов.,-1.4626364,1.231015,2.6936514000000003,1.231015
207,8,26,1,S,S,S,S_S-S,Поездка на остров была незабываемой для молодых влюблённых студентов.,Поездка на остров,была незабываемой для молодых влюблённых студентов.,0.16522223,-6.355075,6.520297230000001,0.16522223
208,1,27,1,S,P,S,S_S-P,Полет через проливы был запрещён из-за усилившегося северного ветра.,Полет через проливы,был запрещён из-за усилившегося северного ветра.,1.8338835,-1.9382464,3.7721299,1.8338835
210,3,27,1,P,S,S,S_P-S,Полеты через пролив был запрещён из-за усилившегося северного ветра.,Полеты через пролив,был запрещён из-за усилившегося северного ветра.,-2.6659954,1.9320996,4.598095,1.9320996
212,5,27,1,P,P,S,S_P-P,Полеты через проливы был запрещён из-за усилившегося северного ветра.,Полеты через проливы,был запрещён из-за усилившегося северного ветра.,-1.93218,2.743235,4.675415,2.743235
214,7,27,1,S,S,S,S_S-S,Полет через пролив был запрещён из-за усилившегося северного ветра.,Полет через пролив,был запрещён из-за усилившегося северного ветра.,0.5456621,-2.4334335,2.9790956,0.5456621
217,2,28,1,P,S,S,S_P-S,Прогулки через парк была приятной для ценителей ландшафтного дизайна.,Прогулки через парк,была приятной для ценителей ландшафтного дизайна.,-1.2914716,1.0384482,2.3299198,1.0384482
219,4,28,1,P,P,S,S_P-P,Прогулки через парки была приятной для ценителей ландшафтного дизайна.,Прогулки через парки,была приятной для ценителей ландшафтного дизайна.,-2.047659,1.0342877,3.0819466999999996,1.0342877
221,6,28,1,S,S,S,S_S-S,Прогулка через парк была приятной для ценителей ландшафтного дизайна.,Прогулка через парк,была приятной для ценителей ландшафтного дизайна.,1.7759751,-4.5547895,6.3307646,1.7759751
223,8,28,1,S,P,S,S_S-P,Прогулка через парки была приятной для ценителей ландшафтного дизайна.,Прогулка через парки,была приятной для ценителей ландшафтного дизайна.,0.92776525,-3.4423454000000002,4.37011065,0.92776525
224,1,29,1,P,S,S,S_P-S,Прыжки через костер был рискованным для обладателей коротких ног.,Прыжки через костер,был рискованным для обладателей коротких ног.,0.3320347,3.5498939,3.2178592,3.5498939
226,3,29,1,P,P,S,S_P-P,Прыжки через костры был рискованным для обладателей коротких ног.,Прыжки через костры,был рискованным для обладателей коротких ног.,0.915243,4.115401,3.200158,4.115401
228,5,29,1,S,S,S,S_S-S,Прыжок через костер был рискованным для обладателей коротких ног.,Прыжок через костер,был рискованным для обладателей коротких ног.,2.3045175,-1.1546221,3.4591396000000003,2.3045175
230,7,29,1,S,P,S,S_S-P,Прыжок через костры был рискованным для обладателей коротких ног.,Прыжок через костры,был рискованным для обладателей коротких ног.,2.8815699,-0.8085543,3.6901242,2.8815699
233,2,30,1,P,P,S,S_P-P,Путешествия на курорты было приятным для членов большой семьи.,Путешествия на курорты,было приятным для членов большой семьи.,-3.12992,-0.82394725,2.3059727499999996,-0.82394725
235,4,30,1,S,S,S,S_S-S,Путешествие на курорт было приятным для членов большой семьи.,Путешествие на курорт,было приятным для членов большой семьи.,1.5816183,-6.538467,8.1200853,1.5816183
237,6,30,1,S,P,S,S_S-P,Путешествие на курорты было приятным для членов большой семьи.,Путешествие на курорты,было приятным для членов большой семьи.,-0.58998966,-4.5528564,3.9628667399999995,-0.58998966
239,8,30,1,P,S,S,S_P-S,Путешествия на курорт было приятным для членов большой семьи.,Путешествия на курорт,было приятным для членов большой семьи.,-1.5056361,-0.5672551,0.938381,-0.5672551
240,1,31,1,P,P,S,S_P-P,Рецепты на порошки был мятым из-за частого предъявления аптекарям.,Рецепты на порошки,был мятым из-за частого предъявления аптекарям.,-2.8785667,-0.25985017,2.61871653,-0.25985017
242,3,31,1,S,S,S,S_S-S,Рецепт на порошок был мятым из-за частого предъявления аптекарям.,Рецепт на порошок,был мятым из-за частого предъявления аптекарям.,0.54144984,-4.409629,4.95107884,0.54144984
244,5,31,1,S,P,S,S_S-P,Рецепт на порошки был мятым из-за частого предъявления аптекарям.,Рецепт на порошки,был мятым из-за частого предъявления аптекарям.,1.5411453,-2.259266,3.8004113000000004,1.5411453
246,7,31,1,P,S,S,S_P-S,Рецепты на порошок был мятым из-за частого предъявления аптекарям.,Рецепты на порошок,был мятым из-за частого предъявления аптекарям.,-2.463522,-1.5405841,0.9229379000000002,-1.5405841
249,2,32,1,S,S,S,S_S-S,Ссылка на сайт была дана в списке источников статьи.,Ссылка на сайт,была дана в списке источников статьи.,-2.2353246,-8.407963,6.1726384,-2.2353246
251,4,32,1,S,P,S,S_S-P,Ссылка на сайты была дана в списке источников статьи.,Ссылка на сайты,была дана в списке источников статьи.,-3.03458,-5.8103004,2.7757204,-3.03458
253,6,32,1,P,S,S,S_P-S,Ссылки на сайт была дана в списке источников статьи.,Ссылки на сайт,была дана в списке источников статьи.,-5.223523,-1.2969329,3.9265901000000003,-1.2969329
255,8,32,1,P,P,S,S_P-P,Ссылки на сайты была дана в списке источников статьи.,Ссылки на сайты,была дана в списке источников статьи.,-6.074935,-2.0535097,4.0214253,-2.0535097
256,1,33,2,S,S,S,S_S-S,Аргумент против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинения,был сокрушительным для адвоката пострадавшей стороны.,0.96097684,-2.6910326,3.6520094400000005,0.96097684
258,3,33,2,S,P,S,S_S-P,Аргумент против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргумент против обвинений,был сокрушительным для адвоката пострадавшей стороны.,1.7259862,-2.7314794,4.4574656,1.7259862
260,5,33,2,P,S,S,S_P-S,Аргументы против обвинения был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинения,был сокрушительным для адвоката пострадавшей стороны.,-2.9325814,0.6269231,3.5595045,0.6269231
262,7,33,2,P,P,S,S_P-P,Аргументы против обвинений был сокрушительным для адвоката пострадавшей стороны.,Аргументы против обвинений,был сокрушительным для адвоката пострадавшей стороны.,-2.1522841,0.9503778,3.1026619,0.9503778
265,2,34,2,S,P,S,S_S-P,Видеозапись с лекций была содержательной для пропустивших занятия студентов.,Видеозапись с лекций,была содержательной для пропустивших занятия студентов.,0.8813576,-3.3274019,4.2087595,0.8813576
267,4,34,2,P,S,S,S_P-S,Видеозаписи с лекции была содержательной для пропустивших занятия студентов.,Видеозаписи с лекции,была содержательной для пропустивших занятия студентов.,-1.6873282,1.3820345,3.0693627,1.3820345
269,6,34,2,P,P,S,S_P-P,Видеозаписи с лекций была содержательной для пропустивших занятия студентов.,Видеозаписи с лекций,была содержательной для пропустивших занятия студентов.,-2.9845264,0.083238125,3.067764525,0.083238125
271,8,34,2,S,S,S,S_S-S,Видеозапись с лекции  была содержательной для пропустивших занятия студентов.,Видеозапись с лекции,была содержательной для пропустивших занятия студентов.,1.3309522,-3.7721026,5.103054800000001,1.3309522
272,1,35,2,S,P,S,S_S-P,Вывод из поражений был верным из-за тщательного анализа ситуации.,Вывод из поражений,был верным из-за тщательного анализа ситуации.,3.1370463,-1.9706762,5.1077225,3.1370463
274,3,35,2,P,S,S,S_P-S,Выводы из поражения был верным из-за тщательного анализа ситуации.,Выводы из поражения,был верным из-за тщательного анализа ситуации.,-1.995775,1.9609658,3.9567408000000004,1.9609658
276,5,35,2,P,P,S,S_P-P,Выводы из поражений был верным из-за тщательного анализа ситуации.,Выводы из поражений,был верным из-за тщательного анализа ситуации.,-2.848131,1.0186857,3.8668167,1.0186857
278,7,35,2,S,S,S,S_S-S,Вывод из поражения  был верным из-за тщательного анализа ситуации.,Вывод из поражения,был верным из-за тщательного анализа ситуации.,3.2179654,-1.976186,5.1941514,3.2179654
