...1,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score,verb_correct_delta,verb_correct_delta2
22,7,3,1,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор,была проделана в несущей конструкции здания,Арка во двор [MASK],Арка во двор [MASK] [MASK] в несущей конструкции здания,была проделана,TRUE,TRUE,3.113349676132202,1.2938464879989624,9.50084114074707,4.772201061248779,1.8195031881332397,3.113349676132202
25,2,4,1,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость,была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость [MASK],Атаки на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,FALSE,FALSE,-1.157496690750122,-0.29574811458587646,5.576770782470703,9.949911117553713,0.8617485761642456,-0.29574811458587646
27,4,4,1,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости,была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости [MASK],Атаки на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,FALSE,FALSE,-0.996732532978058,1.502266526222229,5.366115570068359,10.210328102111816,2.498999059200287,1.502266526222229
29,6,4,1,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость,была безуспешной из-за стратегической ошибки полководца.,Атака на крепость [MASK],Атака на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,TRUE,TRUE,-0.7773998379707336,-3.758004665374756,10.731695175170898,4.0605549812316895,2.980604827404022,-0.7773998379707336
31,8,4,1,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости,была безуспешной из-за стратегической ошибки полководца.,Атака на крепости [MASK],Атака на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,TRUE,TRUE,-0.3302468955516815,-1.2002344131469729,10.992847442626951,5.294030666351318,0.8699875175952914,-0.3302468955516815
32,1,5,1,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей,был утерян во время уличной демонстрации.,Билеты в музей [MASK],Билеты в музей [MASK] [MASK] во время уличной демонстрации.,был утерян,FALSE,FALSE,-2.7543039321899414,0.5719085931777954,5.382760524749756,10.219194412231444,3.326212525367737,0.5719085931777954
34,3,5,1,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи,был утерян во время уличной демонстрации.,Билеты в музеи [MASK],Билеты в музеи [MASK] [MASK] во время уличной демонстрации.,был утерян,FALSE,FALSE,-1.5292608737945557,1.445478916168213,4.633660316467285,9.94140625,2.9747397899627686,1.445478916168213
36,5,5,1,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей,был утерян во время уличной демонстрации.,Билет в музей [MASK],Билет в музей [MASK] [MASK] во время уличной демонстрации.,был утерян,TRUE,TRUE,1.3653393983840942,-2.6400346755981445,12.11558437347412,5.0595293045043945,4.005374073982239,1.3653393983840942
38,7,5,1,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи,был утерян во время уличной демонстрации.,Билет в музеи [MASK],Билет в музеи [MASK] [MASK] во время уличной демонстрации.,был утерян,TRUE,TRUE,0.7062398195266724,-1.1531882286071775,11.394558906555176,6.456640720367432,1.8594280481338499,0.7062398195266724
41,2,6,1,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки,был брошен из-под длинных опущенных ресниц.,Взгляды на снимки [MASK],Взгляды на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,FALSE,FALSE,-0.955005705356598,0.33959805965423584,3.0080578327178955,8.433202743530273,1.2946037650108337,0.33959805965423584
43,4,6,1,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок,был брошен из-под длинных опущенных ресниц.,Взгляд на снимок [MASK],Взгляд на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,TRUE,TRUE,-0.02689841389656067,-3.02417516708374,7.815515041351318,3.2045249938964844,2.997276753187179,-0.02689841389656067
45,6,6,1,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки,был брошен из-под длинных опущенных ресниц.,Взгляд на снимки [MASK],Взгляд на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,TRUE,TRUE,-0.8090915083885193,-1.188983917236328,7.262417316436768,5.000288009643555,0.3798924088478086,-0.8090915083885193
47,8,6,1,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок,был брошен из-под длинных опущенных ресниц.,Взгляды на снимок [MASK],Взгляды на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,TRUE,FALSE,-1.1556692123413086,-1.7989825010299685,4.020793914794922,9.041958808898926,-0.6433132886886599,-1.7989825010299685
48,1,7,1,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки,было принято без излишне бурных эмоций.,Возражения на упреки [MASK],Возражения на упреки [MASK] [MASK] без излишне бурных эмоций.,было принято,FALSE,FALSE,1.8873486518859863,2.85144567489624,7.642246246337891,8.169900894165039,0.9640970230102535,2.85144567489624
50,3,7,1,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек,было принято без излишне бурных эмоций.,Возражение на упрек [MASK],Возражение на упрек [MASK] [MASK] без излишне бурных эмоций.,было принято,TRUE,TRUE,1.8968687057495115,-0.6494138240814209,9.641850471496582,6.033266544342041,2.5462825298309326,1.8968687057495115
52,5,7,1,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки,было принято без излишне бурных эмоций.,Возражение на упреки [MASK],Возражение на упреки [MASK] [MASK] без излишне бурных эмоций.,было принято,TRUE,TRUE,2.578840494155884,-0.14443862438201904,9.480108261108398,4.971606731414795,2.723279118537903,2.578840494155884
54,7,7,1,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек,было принято без излишне бурных эмоций.,Возражения на упрек [MASK],Возражения на упрек [MASK] [MASK] без излишне бурных эмоций.,было принято,TRUE,FALSE,1.780181646347046,0.8306015729904175,7.073293685913086,8.274709701538086,-0.9495800733566284,0.8306015729904175
57,2,8,1,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель,был неточным из-за сбитого прицела ружья.,Выстрел в цель [MASK],Выстрел в цель [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,TRUE,TRUE,1.253202199935913,-2.6650137901306152,12.37491512298584,6.111897945404053,3.9182159900665283,1.253202199935913
59,4,8,1,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели,был неточным из-за сбитого прицела ружья.,Выстрел в цели [MASK],Выстрел в цели [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,TRUE,TRUE,1.8940081596374512,0.3960907459259033,12.707566261291504,8.691688537597656,1.4979174137115479,1.8940081596374512
61,6,8,1,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель,был неточным из-за сбитого прицела ружья.,Выстрелы в цель [MASK],Выстрелы в цель [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,FALSE,FALSE,-0.11311274766921996,2.093194484710694,8.048932075500488,12.38743019104004,2.2063072323799138,2.093194484710694
63,8,8,1,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели,был неточным из-за сбитого прицела ружья.,Выстрелы в цели [MASK],Выстрелы в цели [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,FALSE,FALSE,-0.13304340839385986,3.240905284881592,7.519832134246826,12.467729568481444,3.3739486932754517,3.240905284881592
64,1,9,1,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес,была проложена для снабжения людей провизией.,Дорога через лес [MASK],Дорога через лес [MASK] [MASK] для снабжения людей провизией.,была проложена,TRUE,TRUE,1.9962011575698853,-1.6472595930099487,13.52242374420166,6.201236248016357,3.643460750579834,1.9962011575698853
66,3,9,1,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса,была проложена для снабжения людей провизией.,Дорога через леса [MASK],Дорога через леса [MASK] [MASK] для снабжения людей провизией.,была проложена,TRUE,TRUE,2.5663845539093018,0.08890354633331299,13.093657493591309,6.384657382965088,2.4774810075759888,2.5663845539093018
68,5,9,1,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес,была проложена для снабжения людей провизией.,Дороги через лес [MASK],Дороги через лес [MASK] [MASK] для снабжения людей провизией.,была проложена,FALSE,FALSE,-1.2674736976623535,0.8956913948059082,6.819413661956787,12.74431610107422,2.1631650924682617,0.8956913948059082
70,7,9,1,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса,была проложена для снабжения людей провизией.,Дороги через леса [MASK],Дороги через леса [MASK] [MASK] для снабжения людей провизией.,была проложена,FALSE,FALSE,-0.48742544651031494,1.4109110832214355,5.968164920806885,12.49680233001709,1.8983365297317505,1.4109110832214355
73,2,10,1,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли,была тихой из-за нарушения дыхания пациента.,Жалоба на боли [MASK],Жалоба на боли [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,TRUE,TRUE,3.6136999130249023,0.5839332342147827,11.811651229858398,6.182400226593018,3.0297666788101196,3.6136999130249023
75,4,10,1,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль,была тихой из-за нарушения дыхания пациента.,Жалобы на боль [MASK],Жалобы на боль [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,FALSE,FALSE,3.5628509521484375,6.004985332489014,8.997919082641602,13.347150802612305,2.442134380340576,6.004985332489014
77,6,10,1,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли,была тихой из-за нарушения дыхания пациента.,Жалобы на боли [MASK],Жалобы на боли [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,FALSE,FALSE,1.072279691696167,3.956554889678955,6.546672344207764,11.78367042541504,2.884275197982788,3.956554889678955
79,8,10,1,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль,была тихой из-за нарушения дыхания пациента.,Жалоба на боль [MASK],Жалоба на боль [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,TRUE,TRUE,5.956091403961182,1.5067254304885864,14.131820678710938,7.937736988067627,4.449365973472595,5.956091403961182
80,1,11,1,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства,была рассказана в присутствии маленьких детей.,История про убийства [MASK],История про убийства [MASK] [MASK] в присутствии маленьких детей.,была рассказана,TRUE,FALSE,-0.12967628240585327,-0.3870924711227417,4.480997085571289,5.391853332519531,0.25741618871688843,-0.12967628240585327
82,3,11,1,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.,Истории про убийство,была рассказана в присутствии маленьких детей.,Истории про убийство [MASK],Истории про убийство [MASK] [MASK] в присутствии маленьких детей.,была рассказана,TRUE,FALSE,0.0880967378616333,-1.3572806119918823,6.4096808433532715,8.360639572143555,-1.4453773498535156,-1.3572806119918823
84,5,11,1,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.,Истории про убийства,была рассказана в присутствии маленьких детей.,Истории про убийства [MASK],Истории про убийства [MASK] [MASK] в присутствии маленьких детей.,была рассказана,FALSE,FALSE,-1.2865891456604004,0.3894139528274536,5.3636298179626465,9.561944961547852,1.676003098487854,0.3894139528274536
86,7,11,1,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.,История про убийство,была рассказана в присутствии маленьких детей.,История про убийство [MASK],История про убийство [MASK] [MASK] в присутствии маленьких детей.,была рассказана,TRUE,TRUE,0.5793152451515198,-2.889514923095703,4.689257621765137,1.84505832195282,3.468830168247223,0.5793152451515198
89,2,12,1,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.,Тропинки через луг,была протоптана во время деревенской ярмарки.,Тропинки через луг [MASK],Тропинки через луг [MASK] [MASK] во время деревенской ярмарки.,была протоптана,FALSE,FALSE,-0.9355944395065308,-0.4632072448730469,4.796088218688965,8.855772018432617,0.4723871946334839,-0.4632072448730469
91,4,12,1,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.,Тропинки через луга,была протоптана во время деревенской ярмарки.,Тропинки через луга [MASK],Тропинки через луга [MASK] [MASK] во время деревенской ярмарки.,была протоптана,FALSE,FALSE,-1.6701266765594482,0.7175920009613037,4.775834083557129,9.0524749755859375,2.387718677520752,0.7175920009613037
93,6,12,1,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.,Тропинка через луг,была протоптана во время деревенской ярмарки.,Тропинка через луг [MASK],Тропинка через луг [MASK] [MASK] во время деревенской ярмарки.,была протоптана,TRUE,TRUE,0.14739790558815002,-1.7466448545455933,9.922318458557127,2.2356133460998535,1.8940427601337433,0.14739790558815002
95,8,12,1,S,P,S,S_S-P,Тропинка через луга была протоптана во время деревенской ярмарки.,Тропинка через луга,была протоптана во время деревенской ярмарки.,Тропинка через луга [MASK],Тропинка через луга [MASK] [MASK] во время деревенской ярмарки.,была протоптана,TRUE,TRUE,-0.7007715106010437,-2.427667140960694,9.545026779174805,2.4589033126831055,1.72689563035965,-0.7007715106010437
96,1,13,1,P,S,S,S_P-S,Кружева на наряд было упаковано в вышитый шёлковый мешочек.,Кружева на наряд,было упаковано в вышитый шёлковый мешочек.,Кружева на наряд [MASK],Кружева на наряд [MASK] [MASK] в вышитый шёлковый мешочек.,было упаковано,TRUE,FALSE,1.5801615715026855,0.0682726800441742,7.497170448303223,7.649816036224365,-1.5118888914585114,0.0682726800441742
98,3,13,1,P,P,S,S_P-P,Кружева на наряды было упаковано в вышитый шёлковый мешочек.,Кружева на наряды,было упаковано в вышитый шёлковый мешочек.,Кружева на наряды [MASK],Кружева на наряды [MASK] [MASK] в вышитый шёлковый мешочек.,было упаковано,TRUE,FALSE,0.48849862813949585,-0.2640281021595001,7.753669738769531,8.854097366333008,-0.752526730298996,-0.2640281021595001
100,5,13,1,S,S,S,S_S-S,Кружево на наряд было упаковано в вышитый шёлковый мешочек.,Кружево на наряд,было упаковано в вышитый шёлковый мешочек.,Кружево на наряд [MASK],Кружево на наряд [MASK] [MASK] в вышитый шёлковый мешочек.,было упаковано,TRUE,TRUE,1.4310050010681152,-0.6369895339012146,7.316478252410889,5.158725261688232,2.06799453496933,1.4310050010681152
102,7,13,1,S,P,S,S_S-P,Кружево на наряды было упаковано в вышитый шёлковый мешочек.,Кружево на наряды,было упаковано в вышитый шёлковый мешочек.,Кружево на наряды [MASK],Кружево на наряды [MASK] [MASK] в вышитый шёлковый мешочек.,было упаковано,TRUE,TRUE,1.1390345096588137,-0.9828410744667052,9.662148475646973,7.116094589233398,2.121875584125519,1.1390345096588137
105,2,14,1,P,P,S,S_P-P,Легенды про замки была записана в старинной летописи графства.,Легенды про замки,была записана в старинной летописи графства.,Легенды про замки [MASK],Легенды про замки [MASK] [MASK] в старинной летописи графства.,была записана,FALSE,FALSE,-2.058825731277466,-0.7461419701576233,2.9647626876831055,8.708995819091797,1.3126837611198425,-0.7461419701576233
107,4,14,1,S,S,S,S_S-S,Легенда про замок была записана в старинной летописи графства.,Легенда про замок,была записана в старинной летописи графства.,Легенда про замок [MASK],Легенда про замок [MASK] [MASK] в старинной летописи графства.,была записана,TRUE,TRUE,-2.120619535446167,-4.343242168426514,7.415970325469971,2.1002583503723145,2.2226226329803467,-2.120619535446167
109,6,14,1,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.,Легенда про замки,была записана в старинной летописи графства.,Легенда про замки [MASK],Легенда про замки [MASK] [MASK] в старинной летописи графства.,была записана,TRUE,TRUE,-2.565638780593872,-3.0574350357055664,7.680452346801758,4.6048054695129395,0.49179625511169434,-2.565638780593872
111,8,14,1,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.,Легенды про замок,была записана в старинной летописи графства.,Легенды про замок [MASK],Легенды про замок [MASK] [MASK] в старинной летописи графства.,была записана,TRUE,FALSE,-2.1613247394561768,-3.2924976348876953,3.398529529571533,7.77831506729126,-1.1311728954315186,-3.2924976348876953
112,1,15,1,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.,Лестницы в подвалы,была крутой из-за отсутствия свободного места.,Лестницы в подвалы [MASK],Лестницы в подвалы [MASK] [MASK] из-за отсутствия свободного места.,была крутой,FALSE,FALSE,0.5198448300361633,3.687120914459229,4.555347442626953,9.619743347167969,3.1672760844230656,3.687120914459229
114,3,15,1,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.,Лестница в подвал,была крутой из-за отсутствия свободного места.,Лестница в подвал [MASK],Лестница в подвал [MASK] [MASK] из-за отсутствия свободного места.,была крутой,TRUE,TRUE,1.4105632305145264,-1.804773211479187,9.55950927734375,3.2181005477905273,3.2153364419937134,1.4105632305145264
116,5,15,1,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы,была крутой из-за отсутствия свободного места.,Лестница в подвалы [MASK],Лестница в подвалы [MASK] [MASK] из-за отсутствия свободного места.,была крутой,TRUE,TRUE,1.519718885421753,1.042735934257507,9.896292686462402,4.293338298797607,0.4769829511642458,1.519718885421753
118,7,15,1,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал,была крутой из-за отсутствия свободного места.,Лестницы в подвал [MASK],Лестницы в подвал [MASK] [MASK] из-за отсутствия свободного места.,была крутой,FALSE,FALSE,0.7492648959159851,2.8640894889831543,4.5702362060546875,9.08964729309082,2.114824593067169,2.8640894889831543
121,2,16,1,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг,был возведён после окончания военных действий.,Мост через овраг [MASK],Мост через овраг [MASK] [MASK] после окончания военных действий.,был возведён,TRUE,TRUE,0.4542419612407684,-3.952168464660645,12.351773262023926,5.395992279052734,4.406410425901413,0.4542419612407684
123,4,16,1,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги,был возведён после окончания военных действий.,Мост через овраги [MASK],Мост через овраги [MASK] [MASK] после окончания военных действий.,был возведён,TRUE,TRUE,0.8792836666107178,-1.4647102355957031,12.413159370422363,5.734010219573975,2.343993902206421,0.8792836666107178
125,6,16,1,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг,был возведён после окончания военных действий.,Мосты через овраг [MASK],Мосты через овраг [MASK] [MASK] после окончания военных действий.,был возведён,FALSE,FALSE,-1.2255603075027466,0.4524138569831848,6.787054538726807,12.577840805053713,1.6779741644859314,0.4524138569831848
127,8,16,1,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги,был возведён после окончания военных действий.,Мосты через овраги [MASK],Мосты через овраги [MASK] [MASK] после окончания военных действий.,был возведён,FALSE,FALSE,-0.15837889909744263,2.300914764404297,5.9718217849731445,12.609298706054688,2.4592936635017395,2.300914764404297
128,1,17,1,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход,был повышен из-за смены политического курса.,Налог на доход [MASK],Налог на доход [MASK] [MASK] из-за смены политического курса.,был повышен,TRUE,TRUE,2.5954432487487793,-0.4926093816757202,11.58222484588623,7.057770252227783,3.0880526304244995,2.5954432487487793
130,3,17,1,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,Налог на доходы [MASK],Налог на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,TRUE,TRUE,2.059551239013672,1.962603449821472,11.845132827758787,7.899425029754639,0.09694778919219993,2.059551239013672
132,5,17,1,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,Налоги на доход [MASK],Налоги на доход [MASK] [MASK] из-за смены политического курса.,был повышен,FALSE,FALSE,0.8628084063529968,1.767914652824402,7.351776599884033,11.085319519042969,0.9051062464714053,1.767914652824402
134,7,17,1,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,Налоги на доходы [MASK],Налоги на доходы [MASK] [MASK] из-за смены политического курса.,был повышен,FALSE,FALSE,1.4648306369781494,3.136388778686523,6.436692714691162,11.69252586364746,1.6715581417083736,3.136388778686523
137,2,18,1,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия.,Нападение на банки,было совершено с применением холодного оружия.,Нападение на банки [MASK],Нападение на банки [MASK] [MASK] с применением холодного оружия.,было совершено,TRUE,TRUE,2.1190595626831055,-1.690054178237915,13.419781684875488,9.295616149902344,3.8091137409210205,2.1190595626831055
139,4,18,1,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия.,Нападения на банк,было совершено с применением холодного оружия.,Нападения на банк [MASK],Нападения на банк [MASK] [MASK] с применением холодного оружия.,было совершено,FALSE,FALSE,0.7518715858459473,1.44476056098938,7.595894813537598,10.98843002319336,0.6928889751434328,1.44476056098938
141,6,18,1,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия.,Нападения на банки,было совершено с применением холодного оружия.,Нападения на банки [MASK],Нападения на банки [MASK] [MASK] с применением холодного оружия.,было совершено,FALSE,FALSE,0.4880290627479553,1.9769490957260132,7.031148910522461,10.940834999084473,1.4889200329780579,1.9769490957260132
143,8,18,1,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия.,Нападение на банк,было совершено с применением холодного оружия.,Нападение на банк [MASK],Нападение на банк [MASK] [MASK] с применением холодного оружия.,было совершено,TRUE,TRUE,1.6145071983337402,-3.5566368103027344,13.073126792907717,7.310052394866943,5.171144008636475,1.6145071983337402
144,1,19,1,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,Окно в сады [MASK],Окно в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,TRUE,TRUE,-0.7492476105690002,-1.461032152175903,12.64686107635498,5.96334981918335,0.7117845416069029,-0.7492476105690002
146,3,19,1,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,Окна в сад [MASK],Окна в сад [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,FALSE,FALSE,9.0724229812622e-4,1.8883789777755735,6.924510478973389,11.318472862243652,1.8874717354774473,1.8883789777755735
148,5,19,1,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,Окна в сады [MASK],Окна в сады [MASK] [MASK] из-за сильного холодного ветра.,было закрыто,FALSE,FALSE,-0.5476875305175781,1.7485443353652954,6.821046829223633,11.797582626342772,2.2962318658828735,1.7485443353652954
