Prot,Sent,Group,N1,N2,Pred,Code,Sentence
2,9,1,S,S,P,P_S-S,Дорога через лес были проложены для снабжения людей провизией.
3,9,1,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.
4,9,1,S,P,P,P_S-P,Дорога через леса были проложены для снабжения людей провизией.
5,9,1,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.
6,9,1,P,S,P,P_P-S,Дороги через лес были проложены для снабжения людей провизией.
7,9,1,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.
8,9,1,P,P,P,P_P-P,Дороги через леса были проложены для снабжения людей провизией.
1,10,1,S,S,P,P_S-S,Жалоба на боль были тихими из-за нарушения дыхания пациента.
2,10,1,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.
3,10,1,S,P,P,P_S-P,Жалоба на боли были тихими из-за нарушения дыхания пациента.
4,10,1,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.
5,10,1,P,S,P,P_P-S,Жалобы на боль были тихими из-за нарушения дыхания пациента.
6,10,1,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.
7,10,1,P,P,P,P_P-P,Жалобы на боли были тихими из-за нарушения дыхания пациента.
8,10,1,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.
1,11,1,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.
2,11,1,S,P,P,P_S-P,История про убийства были рассказаны в присутствии маленьких детей.
3,11,1,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.
4,11,1,P,S,P,P_P-S,Истории про убийство были рассказаны в присутствии маленьких детей.
5,11,1,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.
6,11,1,P,P,P,P_P-P,Истории про убийства были рассказаны в присутствии маленьких детей.
7,11,1,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.
8,11,1,S,S,P,P_S-S,История про убийство были рассказаны в присутствии маленьких детей.
1,12,1,S,P,P,P_S-P,Тропинка через луга были протоптаны во время деревенской ярмарки.
2,12,1,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.
3,12,1,P,S,P,P_P-S,Тропинки через луг были протоптаны во время деревенской ярмарки.
4,12,1,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.
5,12,1,P,P,P,P_P-P,Тропинки через луга были протоптаны во время деревенской ярмарки.
6,12,1,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.
7,12,1,S,S,P,P_S-S,Тропинка через луг были протоптаны во время деревенской ярмарки.
8,12,1,S,P,S,S_S-P,Тропинка через луга была протоптана во время деревенской ярмарки.
1,13,1,P,S,S,S_P-S,Кружева на наряд было упаковано в вышитый шёлковый мешочек.
2,13,1,P,S,P,P_P-S,Кружева на наряд были упакованы в вышитый шёлковый мешочек.
3,13,1,P,P,S,S_P-P,Кружева на наряды было упаковано в вышитый шёлковый мешочек.
4,13,1,P,P,P,P_P-P,Кружева на наряды были упакованы в вышитый шёлковый мешочек.
5,13,1,S,S,S,S_S-S,Кружево на наряд было упаковано в вышитый шёлковый мешочек.
6,13,1,S,S,P,P_S-S,Кружево на наряд были упакованы в вышитый шёлковый мешочек.
7,13,1,S,P,S,S_S-P,Кружево на наряды было упаковано в вышитый шёлковый мешочек.
8,13,1,S,P,P,P_S-P,Кружево на наряды были упакованы в вышитый шёлковый мешочек.
1,14,1,P,S,P,P_P-S,Легенды про замок были записаны в старинной летописи графства.
2,14,1,P,P,S,S_P-P,Легенды про замки была записана в старинной летописи графства.
3,14,1,P,P,P,P_P-P,Легенды про замки были записаны в старинной летописи графства.
4,14,1,S,S,S,S_S-S,Легенда про замок была записана в старинной летописи графства.
5,14,1,S,S,P,P_S-S,Легенда про замок были записаны в старинной летописи графства.
6,14,1,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.
7,14,1,S,P,P,P_S-P,Легенда про замки были записаны в старинной летописи графства.
8,14,1,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.
1,15,1,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.
2,15,1,P,P,P,P_P-P,Лестницы в подвалы были крутыми из-за отсутствия свободного места.
3,15,1,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.
4,15,1,S,S,P,P_S-S,Лестница в подвал были крутыми из-за отсутствия свободного места.
5,15,1,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.
6,15,1,S,P,P,P_S-P,Лестница в подвалы были крутыми из-за отсутствия свободного места.
7,15,1,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.
8,15,1,P,S,P,P_P-S,Лестницы в подвал были крутыми из-за отсутствия свободного места.
1,16,1,P,P,P,P_P-P,Мосты через овраги были возведены после окончания военных действий.
2,16,1,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.
3,16,1,S,S,P,P_S-S,Мост через овраг были возведены после окончания военных действий.
4,16,1,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.
5,16,1,S,P,P,P_S-P,Мост через овраги были возведены после окончания военных действий.
6,16,1,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.
7,16,1,P,S,P,P_P-S,Мосты через овраг были возведены после окончания военных действий.
8,16,1,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.
1,17,1,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.
2,17,1,S,S,P,P_S-S,Налог на доход были повышены из-за смены политического курса.
3,17,1,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.
4,17,1,S,P,P,P_S-P,Налог на доходы были повышены из-за смены политического курса.
5,17,1,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.
6,17,1,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.
7,17,1,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.
8,17,1,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.
1,18,1,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. 
2,18,1,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. 
3,18,1,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. 
4,18,1,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. 
5,18,1,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. 
6,18,1,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. 
7,18,1,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. 
8,18,1,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. 
1,19,1,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.
2,19,1,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.
3,19,1,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.
4,19,1,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.
5,19,1,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.
6,19,1,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.
7,19,1,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.
8,19,1,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.
1,20,1,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.
2,20,1,P,S,S,S_P-S,Ответы на вопрос был неверным из-за недостаточного знания материала.
3,20,1,P,S,P,P_P-S,Ответы на вопрос были неверными из-за недостаточного знания материала.
4,20,1,P,P,S,S_P-P,Ответы на вопросы был неверным из-за недостаточного знания материала.
5,20,1,P,P,P,P_P-P,Ответы на вопросы были неверными из-за недостаточного знания материала.
6,20,1,S,S,S,S_S-S,Ответ на вопрос был неверным из-за недостаточного знания материала.
7,20,1,S,S,P,P_S-S,Ответ на вопрос были неверными из-за недостаточного знания материала.
8,20,1,S,P,S,S_S-P,Ответ на вопросы был неверным из-за недостаточного знания материала.
1,21,1,P,S,S,S_P-S,Очереди в театр была бесконечной из-за большого наплыва туристов.
2,21,1,P,S,P,P_P-S,Очереди в театр были бесконечными из-за большого наплыва туристов.
3,21,1,P,P,S,S_P-P,Очереди в театры была бесконечной из-за большого наплыва туристов.
4,21,1,P,P,P,P_P-P,Очереди в театры были бесконечными из-за большого наплыва туристов.
5,21,1,S,S,S,S_S-S,Очередь в театр была бесконечной из-за большого наплыва туристов.
6,21,1,S,S,P,P_S-S,Очередь в театр были бесконечными из-за большого наплыва туристов.
7,21,1,S,P,S,S_S-P,Очередь в театры была бесконечной из-за большого наплыва туристов.
8,21,1,S,P,P,P_S-P,Очередь в театры были бесконечными из-за большого наплыва туристов.
1,22,1,P,S,P,P_P-S,Переправы через ручей были опасными из-за тяжёлых погодных условий.
2,22,1,P,P,S,S_P-P,Переправы через ручьи была опасной из-за тяжёлых погодных условий.
3,22,1,P,P,P,P_P-P,Переправы через ручьи были опасными из-за тяжёлых погодных условий.
4,22,1,S,S,S,S_S-S,Переправа через ручей была опасной из-за тяжёлых погодных условий.
5,22,1,S,S,P,P_S-S,Переправа через ручей были опасными из-за тяжёлых погодных условий.
6,22,1,S,P,S,S_S-P,Переправа через ручьи была опасной из-за тяжёлых погодных условий.
7,22,1,S,P,P,P_S-P,Переправа через ручьи были опасными из-за тяжёлых погодных условий.
8,22,1,P,S,S,S_P-S,Переправы через ручей была опасной из-за тяжёлых погодных условий.
1,23,1,P,P,S,S_P-P,Песни про поезда была грустной для большинства отставных машинистов.
2,23,1,P,P,P,P_P-P,Песни про поезда были грустными для большинства отставных машинистов.
3,23,1,S,S,S,S_S-S,Песня про поезд была грустной для большинства отставных машинистов.
4,23,1,S,S,P,P_S-S,Песня про поезд были грустными для большинства отставных машинистов.
5,23,1,S,P,S,S_S-P,Песня про поезда была грустной для большинства отставных машинистов.
6,23,1,S,P,P,P_S-P,Песня про поезда были грустными для большинства отставных машинистов.
7,23,1,P,S,S,S_P-S,Песни про поезд была грустной для большинства отставных машинистов.
8,23,1,P,S,P,P_P-S,Песни про поезд были грустными для большинства отставных машинистов.
1,24,1,P,P,P,P_P-P,Письма про походы были отправлены из маленького сибирского посёлка.
2,24,1,S,S,S,S_S-S,Письмо про поход было отправлено из маленького сибирского посёлка.
3,24,1,S,S,P,P_S-S,Письмо про поход были отправлены из маленького сибирского посёлка.
4,24,1,S,P,S,S_S-P,Письмо про походы было отправлено из маленького сибирского посёлка.
5,24,1,S,P,P,P_S-P,Письмо про походы были отправлены из маленького сибирского посёлка.
6,24,1,P,S,S,S_P-S,Письма про поход было отправлено из маленького сибирского посёлка.
7,24,1,P,S,P,P_P-S,Письма про поход были отправлены из маленького сибирского посёлка.
8,24,1,P,P,S,S_P-P,Письма про походы было отправлено из маленького сибирского посёлка.
1,25,1,S,S,S,S_S-S,План на выходной был разрушен из-за визита назойливых родственников.
2,25,1,S,S,P,P_S-S,План на выходной были разрушены из-за визита назойливых родственников.
3,25,1,S,P,S,S_S-P,План на выходные был разрушен из-за визита назойливых родственников.
4,25,1,S,P,P,P_S-P,План на выходные были разрушены из-за визита назойливых родственников.
5,25,1,P,S,S,S_P-S,Планы на выходной был разрушен из-за визита назойливых родственников.
6,25,1,P,S,P,P_P-S,Планы на выходной были разрушены из-за визита назойливых родственников.
7,25,1,P,P,S,S_P-P,Планы на выходные был разрушен из-за визита назойливых родственников.
8,25,1,P,P,P,P_P-P,Планы на выходные были разрушены из-за визита назойливых родственников.
1,26,1,S,S,P,P_S-S,Поездка на остров были незабываемыми для молодых влюблённых студентов.
2,26,1,S,P,S,S_S-P,Поездка на острова была незабываемой для молодых влюблённых студентов.
3,26,1,S,P,P,P_S-P,Поездка на острова были незабываемыми для молодых влюблённых студентов.
4,26,1,P,S,S,S_P-S,Поездки на остров была незабываемой для молодых влюблённых студентов.
5,26,1,P,S,P,P_P-S,Поездки на остров были незабываемыми для молодых влюблённых студентов.
6,26,1,P,P,S,S_P-P,Поездки на острова была незабываемой для молодых влюблённых студентов.
7,26,1,P,P,P,P_P-P,Поездки на острова были незабываемыми для молодых влюблённых студентов.
8,26,1,S,S,S,S_S-S,Поездка на остров была незабываемой для молодых влюблённых студентов.
1,27,1,S,P,S,S_S-P,Полет через проливы был запрещён из-за усилившегося северного ветра.
2,27,1,S,P,P,P_S-P,Полет через проливы были запрещены из-за усилившегося северного ветра.
3,27,1,P,S,S,S_P-S,Полеты через пролив был запрещён из-за усилившегося северного ветра.
4,27,1,P,S,P,P_P-S,Полеты через пролив были запрещены из-за усилившегося северного ветра.
5,27,1,P,P,S,S_P-P,Полеты через проливы был запрещён из-за усилившегося северного ветра.
6,27,1,P,P,P,P_P-P,Полеты через проливы были запрещены из-за усилившегося северного ветра.
7,27,1,S,S,S,S_S-S,Полет через пролив был запрещён из-за усилившегося северного ветра.
8,27,1,S,S,P,P_S-S,Полет через пролив были запрещены из-за усилившегося северного ветра.
1,28,1,S,P,P,P_S-P,Прогулка через парки были приятными для ценителей ландшафтного дизайна.
2,28,1,P,S,S,S_P-S,Прогулки через парк была приятной для ценителей ландшафтного дизайна.
3,28,1,P,S,P,P_P-S,Прогулки через парк были приятными для ценителей ландшафтного дизайна.
4,28,1,P,P,S,S_P-P,Прогулки через парки была приятной для ценителей ландшафтного дизайна.
5,28,1,P,P,P,P_P-P,Прогулки через парки были приятными для ценителей ландшафтного дизайна.
6,28,1,S,S,S,S_S-S,Прогулка через парк была приятной для ценителей ландшафтного дизайна.
7,28,1,S,S,P,P_S-S,Прогулка через парк были приятными для ценителей ландшафтного дизайна.
8,28,1,S,P,S,S_S-P,Прогулка через парки была приятной для ценителей ландшафтного дизайна.
1,29,1,P,S,S,S_P-S,Прыжки через костер был рискованным для обладателей коротких ног.
2,29,1,P,S,P,P_P-S,Прыжки через костер были рискованными для обладателей коротких ног.
3,29,1,P,P,S,S_P-P,Прыжки через костры был рискованным для обладателей коротких ног.
4,29,1,P,P,P,P_P-P,Прыжки через костры были рискованными для обладателей коротких ног.
5,29,1,S,S,S,S_S-S,Прыжок через костер был рискованным для обладателей коротких ног.
6,29,1,S,S,P,P_S-S,Прыжок через костер были рискованными для обладателей коротких ног.
7,29,1,S,P,S,S_S-P,Прыжок через костры был рискованным для обладателей коротких ног.
8,29,1,S,P,P,P_S-P,Прыжок через костры были рискованными для обладателей коротких ног.
1,30,1,P,S,P,P_P-S,Путешествия на курорт были приятными для членов большой семьи.
2,30,1,P,P,S,S_P-P,Путешествия на курорты было приятным для членов большой семьи.
3,30,1,P,P,P,P_P-P,Путешествия на курорты были приятными для членов большой семьи.
4,30,1,S,S,S,S_S-S,Путешествие на курорт было приятным для членов большой семьи.
5,30,1,S,S,P,P_S-S,Путешествие на курорт были приятными для членов большой семьи.
6,30,1,S,P,S,S_S-P,Путешествие на курорты было приятным для членов большой семьи.
7,30,1,S,P,P,P_S-P,Путешествие на курорты были приятными для членов большой семьи.
8,30,1,P,S,S,S_P-S,Путешествия на курорт было приятным для членов большой семьи.
1,31,1,P,P,S,S_P-P,Рецепты на порошки был мятым из-за частого предъявления аптекарям.
2,31,1,P,P,P,P_P-P,Рецепты на порошки были мятыми из-за частого предъявления аптекарям.
3,31,1,S,S,S,S_S-S,Рецепт на порошок был мятым из-за частого предъявления аптекарям.
4,31,1,S,S,P,P_S-S,Рецепт на порошок были мятыми из-за частого предъявления аптекарям.
5,31,1,S,P,S,S_S-P,Рецепт на порошки был мятым из-за частого предъявления аптекарям.
6,31,1,S,P,P,P_S-P,Рецепт на порошки были мятыми из-за частого предъявления аптекарям.
7,31,1,P,S,S,S_P-S,Рецепты на порошок был мятым из-за частого предъявления аптекарям.
8,31,1,P,S,P,P_P-S,Рецепты на порошок были мятыми из-за частого предъявления аптекарям.
1,32,1,P,P,P,P_P-P,Ссылки на сайты были даны в списке источников статьи.
2,32,1,S,S,S,S_S-S,Ссылка на сайт была дана в списке источников статьи.
3,32,1,S,S,P,P_S-S,Ссылка на сайт были даны в списке источников статьи.
4,32,1,S,P,S,S_S-P,Ссылка на сайты была дана в списке источников статьи.
5,32,1,S,P,P,P_S-P,Ссылка на сайты были даны в списке источников статьи.
6,32,1,P,S,S,S_P-S,Ссылки на сайт была дана в списке источников статьи.
7,32,1,P,S,P,P_P-S,Ссылки на сайт были даны в списке источников статьи.
8,32,1,P,P,S,S_P-P,Ссылки на сайты была дана в списке источников статьи.
1,33,2,S,S,S,S_S-S,Аргумент против обвинения был сокрушительным для адвоката пострадавшей стороны.
2,33,2,S,S,P,P_S-S,Аргумент против обвинения были сокрушительными для адвоката пострадавшей стороны.
3,33,2,S,P,S,S_S-P,Аргумент против обвинений был сокрушительным для адвоката пострадавшей стороны.
4,33,2,S,P,P,P_S-P,Аргумент против обвинений были сокрушительными для адвоката пострадавшей стороны.
5,33,2,P,S,S,S_P-S,Аргументы против обвинения был сокрушительным для адвоката пострадавшей стороны.
6,33,2,P,S,P,P_P-S,Аргументы против обвинения были сокрушительными для адвоката пострадавшей стороны.
7,33,2,P,P,S,S_P-P,Аргументы против обвинений был сокрушительным для адвоката пострадавшей стороны.
8,33,2,P,P,P,P_P-P,Аргументы против обвинений были сокрушительными для адвоката пострадавшей стороны.
1,34,2,S,S,P,P_S-S,Видеозапись с лекции  были содержательными для пропустивших занятия студентов.
2,34,2,S,P,S,S_S-P,Видеозапись с лекций была содержательной для пропустивших занятия студентов.
3,34,2,S,P,P,P_S-P,Видеозапись с лекций были содержательными для пропустивших занятия студентов.
4,34,2,P,S,S,S_P-S,Видеозаписи с лекции была содержательной для пропустивших занятия студентов.
5,34,2,P,S,P,P_P-S,Видеозаписи с лекции были содержательными для пропустивших занятия студентов.
6,34,2,P,P,S,S_P-P,Видеозаписи с лекций была содержательной для пропустивших занятия студентов.
7,34,2,P,P,P,P_P-P,Видеозаписи с лекций были содержательными для пропустивших занятия студентов.
8,34,2,S,S,S,S_S-S,Видеозапись с лекции  была содержательной для пропустивших занятия студентов.
1,35,2,S,P,S,S_S-P,Вывод из поражений был верным из-за тщательного анализа ситуации.
2,35,2,S,P,P,P_S-P,Вывод из поражений были верными из-за тщательного анализа ситуации.
3,35,2,P,S,S,S_P-S,Выводы из поражения был верным из-за тщательного анализа ситуации.
4,35,2,P,S,P,P_P-S,Выводы из поражения были верными из-за тщательного анализа ситуации.
5,35,2,P,P,S,S_P-P,Выводы из поражений был верным из-за тщательного анализа ситуации.
6,35,2,P,P,P,P_P-P,Выводы из поражений были верными из-за тщательного анализа ситуации.
7,35,2,S,S,S,S_S-S,Вывод из поражения  был верным из-за тщательного анализа ситуации.
8,35,2,S,S,P,P_S-S,Вывод из поражения  были верными из-за тщательного анализа ситуации.
1,36,2,S,P,P,P_S-P,Выдержка из книг были краткими для упрощения процесса запоминания.
2,36,2,P,S,S,S_P-S,Выдержки из книги была краткой для упрощения процесса запоминания.
3,36,2,P,S,P,P_P-S,Выдержки из книги были краткими для упрощения процесса запоминания.
4,36,2,P,P,S,S_P-P,Выдержки из книг была краткой для упрощения процесса запоминания.
5,36,2,P,P,P,P_P-P,Выдержки из книг были краткими для упрощения процесса запоминания.
6,36,2,S,S,S,S_S-S,Выдержка из книги была краткой для упрощения процесса запоминания.
7,36,2,S,S,P,P_S-S,Выдержка из книги были краткими для упрощения процесса запоминания.
8,36,2,S,P,S,S_S-P,Выдержка из книг была краткой для упрощения процесса запоминания.
1,37,2,P,S,S,S_P-S,Выписки из программы была сделана во время затянувшегося заседания.
2,37,2,P,S,P,P_P-S,Выписки из программы были сделаны во время затянувшегося заседания.
3,37,2,P,P,S,S_P-P,Выписки из программ была сделана во время затянувшегося заседания.
4,37,2,P,P,P,P_P-P,Выписки из программ были сделаны во время затянувшегося заседания.
5,37,2,S,S,S,S_S-S,Выписка из программы была сделана во время затянувшегося заседания.
6,37,2,S,S,P,P_S-S,Выписка из программы были сделаны во время затянувшегося заседания.
7,37,2,S,P,S,S_S-P,Выписка из программ была сделана во время затянувшегося заседания.
8,37,2,S,P,P,P_S-P,Выписка из программ были сделаны во время затянувшегося заседания.
1,38,2,P,S,P,P_P-S,Выходы из ситуации были очевидными для опытного школьного психолога.
2,38,2,P,P,S,S_P-P,Выходы из ситуаций был очевидным для опытного школьного психолога.
3,38,2,P,P,P,P_P-P,Выходы из ситуаций были очевидными для опытного школьного психолога.
4,38,2,S,S,S,S_S-S,Выход из ситуации  был очевидным для опытного школьного психолога.
5,38,2,S,S,P,P_S-S,Выход из ситуации  были очевидными для опытного школьного психолога.
6,38,2,S,P,S,S_S-P,Выход из ситуаций был очевидным для опытного школьного психолога.
7,38,2,S,P,P,P_S-P,Выход из ситуаций были очевидными для опытного школьного психолога.
8,38,2,P,S,S,S_P-S,Выходы из ситуации был очевидным для опытного школьного психолога.
1,39,2,P,P,S,S_P-P,Доски для афиш была прибита к ограде маленького театра.
2,39,2,P,P,P,P_P-P,Доски для афиш были прибиты к ограде маленького театра.
3,39,2,S,S,S,S_S-S,Доска для афиши была прибита к ограде маленького театра.
4,39,2,S,S,P,P_S-S,Доска для афиши были прибиты к ограде маленького театра.
5,39,2,S,P,S,S_S-P,Доска для афиш была прибита к ограде маленького театра.
6,39,2,S,P,P,P_S-P,Доска для афиш были прибиты к ограде маленького театра.
7,39,2,P,S,S,S_P-S,Доски для афиши была прибита к ограде маленького театра.
8,39,2,P,S,P,P_P-S,Доски для афиши были прибиты к ограде маленького театра.
1,40,2,P,P,P,P_P-P,Задержки из-за наводнений были пугающими из-за отсутствия достоверной информации.
2,40,2,S,S,S,S_S-S,Задержка из-за наводнения была пугающей из-за отсутствия достоверной информации.
3,40,2,S,S,P,P_S-S,Задержка из-за наводнения были пугающими из-за отсутствия достоверной информации.
4,40,2,S,P,S,S_S-P,Задержка из-за наводнений была пугающей из-за отсутствия достоверной информации.
