,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,p_w1,p_w2,p_phrase,compatibility_score,leftA,rightA,p_w1A,p_w2A,compatibility_scoreA
11,4.0,2.0,1.0,P,S,S,S_P-S,Анекдоты про экзамен был обидным для строгого пожилого учителя.,Анекдоты про экзамен,был обидным для строгого пожилого учителя.,-30.203125,-58.125,-88.0625,0.265625,Анекдоты про экзамен был,обидным для строгого пожилого учителя.,-43.4375,-52.625,8.0
12,5.0,2.0,1.0,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,Анекдоты про экзамен,были обидными для строгого пожилого учителя.,-30.203125,-58.125,-83.875,4.453125,Анекдоты про экзамен были,обидными для строгого пожилого учителя.,-40.625,-53.5625,10.3125
13,6.0,2.0,1.0,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены,был обидным для строгого пожилого учителя.,-29.578125,-58.125,-88.5,-0.796875,Анекдоты про экзамены был,обидным для строгого пожилого учителя.,-44.21875,-52.625,8.34375
14,7.0,2.0,1.0,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,Анекдоты про экзамены,были обидными для строгого пожилого учителя.,-29.578125,-58.125,-83.25,4.453125,Анекдоты про экзамены были,обидными для строгого пожилого учителя.,-39.78125,-53.5625,10.09375
15,8.0,2.0,1.0,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен,был обидным для строгого пожилого учителя.,-30.0,-58.125,-81.4375,6.6875,Анекдот про экзамен был,обидным для строгого пожилого учителя.,-37.9375,-52.625,9.125
16,1.0,3.0,1.0,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы,была проделана в несущей конструкции здания,-32.375,-35.75,-62.375,5.75,Арка во дворы была,проделана в несущей конструкции здания,-40.0625,-35.8125,13.5
17,2.0,3.0,1.0,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,Арка во дворы,были проделаны в несущей конструкции здания,-32.375,-33.6875,-63.875,2.1875,Арка во дворы были,проделаны в несущей конструкции здания,-44.21875,-32.25,12.59375
18,3.0,3.0,1.0,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор,была проделана в несущей конструкции здания,-30.421875,-35.75,-64.5625,1.609375,Арки во двор была,проделана в несущей конструкции здания,-43.25,-35.8125,14.5
19,4.0,3.0,1.0,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,Арки во двор,были проделаны в несущей конструкции здания,-30.421875,-33.6875,-62.34375,1.765625,Арки во двор были,проделаны в несущей конструкции здания,-42.4375,-32.25,12.34375
20,5.0,3.0,1.0,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы,была проделана в несущей конструкции здания,-34.5,-35.75,-69.25,1.0,Арки во дворы была,проделана в несущей конструкции здания,-46.28125,-35.8125,12.84375
21,6.0,3.0,1.0,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,Арки во дворы,были проделаны в несущей конструкции здания,-34.5,-33.6875,-64.8125,3.375,Арки во дворы были,проделаны в несущей конструкции здания,-42.9375,-32.25,10.375
22,7.0,3.0,1.0,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор,была проделана в несущей конструкции здания,-28.609375,-35.75,-55.875,8.484375,Арка во двор была,проделана в несущей конструкции здания,-36.3125,-35.8125,16.25
23,8.0,3.0,1.0,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,Арка во двор,были проделаны в несущей конструкции здания,-28.609375,-33.6875,-58.78125,3.515625,Арка во двор были,проделаны в несущей конструкции здания,-40.9375,-32.25,14.40625
24,1.0,4.0,1.0,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,Атака на крепости,были безуспешными из-за стратегической ошибки полководца.,-28.4375,-56.40625,-76.8125,8.03125,Атака на крепости были,безуспешными из-за стратегической ошибки полководца.,-38.9375,-56.59375,18.71875
25,2.0,4.0,1.0,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость,была безуспешной из-за стратегической ошибки полководца.,-28.65625,-57.28125,-76.9375,9.0,Атаки на крепость была,безуспешной из-за стратегической ошибки полководца.,-40.75,-55.25,19.0625
26,3.0,4.0,1.0,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,Атаки на крепость,были безуспешными из-за стратегической ошибки полководца.,-28.65625,-56.40625,-70.0,15.0625,Атаки на крепость были,безуспешными из-за стратегической ошибки полководца.,-33.0625,-56.59375,19.65625
27,4.0,4.0,1.0,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости,была безуспешной из-за стратегической ошибки полководца.,-29.0,-57.28125,-80.3125,5.96875,Атаки на крепости была,безуспешной из-за стратегической ошибки полководца.,-43.0625,-55.25,18.0
28,5.0,4.0,1.0,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,Атаки на крепости,были безуспешными из-за стратегической ошибки полководца.,-29.0,-56.40625,-73.875,11.53125,Атаки на крепости были,безуспешными из-за стратегической ошибки полководца.,-35.25,-56.59375,17.96875
29,6.0,4.0,1.0,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость,была безуспешной из-за стратегической ошибки полководца.,-26.296875,-57.28125,-69.375,14.203125,Атака на крепость была,безуспешной из-за стратегической ошибки полководца.,-32.78125,-55.25,18.65625
30,7.0,4.0,1.0,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,Атака на крепость,были безуспешными из-за стратегической ошибки полководца.,-26.296875,-56.40625,-75.8125,6.890625,Атака на крепость были,безуспешными из-за стратегической ошибки полководца.,-39.3125,-56.59375,20.09375
31,8.0,4.0,1.0,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости,была безуспешной из-за стратегической ошибки полководца.,-28.4375,-57.28125,-72.375,13.34375,Атака на крепости была,безуспешной из-за стратегической ошибки полководца.,-35.625,-55.25,18.5
32,1.0,5.0,1.0,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей,был утерян во время уличной демонстрации.,-27.046875,-49.65625,-74.25,2.453125,Билеты в музей был,утерян во время уличной демонстрации.,-37.4375,-48.78125,11.96875
33,2.0,5.0,1.0,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,Билеты в музей,были утеряны во время уличной демонстрации.,-27.046875,-50.53125,-70.375,7.203125,Билеты в музей были,утеряны во время уличной демонстрации.,-33.125,-52.53125,15.28125
34,3.0,5.0,1.0,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи,был утерян во время уличной демонстрации.,-26.046875,-49.65625,-78.0625,-2.359375,Билеты в музеи был,утерян во время уличной демонстрации.,-39.15625,-48.78125,9.875
35,4.0,5.0,1.0,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,Билеты в музеи,были утеряны во время уличной демонстрации.,-26.046875,-50.53125,-71.25,5.328125,Билеты в музеи были,утеряны во время уличной демонстрации.,-34.03125,-52.53125,15.3125
36,5.0,5.0,1.0,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей,был утерян во время уличной демонстрации.,-25.703125,-49.65625,-67.6875,7.671875,Билет в музей был,утерян во время уличной демонстрации.,-34.1875,-48.78125,15.28125
37,6.0,5.0,1.0,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,Билет в музей,были утеряны во время уличной демонстрации.,-25.703125,-50.53125,-73.1875,3.046875,Билет в музей были,утеряны во время уличной демонстрации.,-38.1875,-52.53125,17.53125
38,7.0,5.0,1.0,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи,был утерян во время уличной демонстрации.,-29.015625,-49.65625,-72.4375,6.234375,Билет в музеи был,утерян во время уличной демонстрации.,-37.15625,-48.78125,13.5
39,8.0,5.0,1.0,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,Билет в музеи,были утеряны во время уличной демонстрации.,-29.015625,-50.53125,-76.0625,3.484375,Билет в музеи были,утеряны во время уличной демонстрации.,-39.40625,-52.53125,15.875
40,1.0,6.0,1.0,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,Взгляды на снимок,были брошены из-под длинных опущенных ресниц.,-33.03125,-51.625,-76.75,7.90625,Взгляды на снимок были,брошены из-под длинных опущенных ресниц.,-40.53125,-51.15625,14.9375
41,2.0,6.0,1.0,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки,был брошен из-под длинных опущенных ресниц.,-33.21875,-50.8125,-78.1875,5.84375,Взгляды на снимки был,брошен из-под длинных опущенных ресниц.,-44.0,-51.125,16.9375
42,3.0,6.0,1.0,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,Взгляды на снимки,были брошены из-под длинных опущенных ресниц.,-33.21875,-51.625,-76.6875,8.15625,Взгляды на снимки были,брошены из-под длинных опущенных ресниц.,-40.3125,-51.15625,14.78125
43,4.0,6.0,1.0,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок,был брошен из-под длинных опущенных ресниц.,-29.046875,-50.8125,-70.0625,9.796875,Взгляд на снимок был,брошен из-под длинных опущенных ресниц.,-37.0625,-51.125,18.125
44,5.0,6.0,1.0,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,Взгляд на снимок,были брошены из-под длинных опущенных ресниц.,-29.046875,-51.625,-76.4375,4.234375,Взгляд на снимок были,брошены из-под длинных опущенных ресниц.,-43.5625,-51.15625,18.28125
45,6.0,6.0,1.0,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки,был брошен из-под длинных опущенных ресниц.,-30.15625,-50.8125,-72.1875,8.78125,Взгляд на снимки был,брошен из-под длинных опущенных ресниц.,-36.71875,-51.125,15.65625
46,7.0,6.0,1.0,S,P,P,P_S-P,Взгляд на снимки были брошены из-под длинных опущенных ресниц.,Взгляд на снимки,были брошены из-под длинных опущенных ресниц.,-30.15625,-51.625,-76.125,5.65625,Взгляд на снимки были,брошены из-под длинных опущенных ресниц.,-41.71875,-51.15625,16.75
47,8.0,6.0,1.0,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок,был брошен из-под длинных опущенных ресниц.,-33.03125,-50.8125,-74.625,9.21875,Взгляды на снимок был,брошен из-под длинных опущенных ресниц.,-42.59375,-51.125,19.09375
48,1.0,7.0,1.0,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки,было принято без излишне бурных эмоций.,-36.5625,-47.0,-82.8125,0.75,Возражения на упреки было,принято без излишне бурных эмоций.,-50.0625,-45.9375,13.1875
49,2.0,7.0,1.0,P,P,P,P_P-P,Возражения на упреки были приняты без излишне бурных эмоций.,Возражения на упреки,были приняты без излишне бурных эмоций.,-36.5625,-47.40625,-76.5625,7.40625,Возражения на упреки были,приняты без излишне бурных эмоций.,-44.71875,-50.03125,18.1875
50,3.0,7.0,1.0,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек,было принято без излишне бурных эмоций.,-30.453125,-47.0,-74.375,3.078125,Возражение на упрек было,принято без излишне бурных эмоций.,-43.3125,-45.9375,14.875
51,4.0,7.0,1.0,S,S,P,P_S-S,Возражение на упрек были приняты без излишне бурных эмоций.,Возражение на упрек,были приняты без излишне бурных эмоций.,-30.453125,-47.40625,-77.9375,-0.078125,Возражение на упрек были,приняты без излишне бурных эмоций.,-45.78125,-50.03125,17.875
52,5.0,7.0,1.0,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки,было принято без излишне бурных эмоций.,-33.5625,-47.0,-75.6875,4.875,Возражение на упреки было,принято без излишне бурных эмоций.,-45.1875,-45.9375,15.4375
53,6.0,7.0,1.0,S,P,P,P_S-P,Возражение на упреки были приняты без излишне бурных эмоций.,Возражение на упреки,были приняты без излишне бурных эмоций.,-33.5625,-47.40625,-78.3125,2.65625,Возражение на упреки были,приняты без излишне бурных эмоций.,-45.15625,-50.03125,16.875
54,7.0,7.0,1.0,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек,было принято без излишне бурных эмоций.,-35.90625,-47.0,-82.1875,0.71875,Возражения на упрек было,принято без излишне бурных эмоций.,-48.4375,-45.9375,12.1875
55,8.0,7.0,1.0,P,S,P,P_P-S,Возражения на упрек были приняты без излишне бурных эмоций.,Возражения на упрек,были приняты без излишне бурных эмоций.,-35.90625,-47.40625,-77.125,6.1875,Возражения на упрек были,приняты без излишне бурных эмоций.,-45.0,-50.03125,17.90625
56,1.0,8.0,1.0,P,P,P,P_P-P,Выстрелы в цели были неточными из-за сбитого прицела ружья.,Выстрелы в цели,были неточными из-за сбитого прицела ружья.,-34.3125,-55.5,-76.625,13.1875,Выстрелы в цели были,неточными из-за сбитого прицела ружья.,-42.375,-51.96875,17.71875
57,2.0,8.0,1.0,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель,был неточным из-за сбитого прицела ружья.,-26.9375,-57.25,-72.6875,11.5,Выстрел в цель был,неточным из-за сбитого прицела ружья.,-34.65625,-53.40625,15.375
58,3.0,8.0,1.0,S,S,P,P_S-S,Выстрел в цель были неточными из-за сбитого прицела ружья.,Выстрел в цель,были неточными из-за сбитого прицела ружья.,-26.9375,-55.5,-78.9375,3.5,Выстрел в цель были,неточными из-за сбитого прицела ружья.,-40.875,-51.96875,13.90625
59,4.0,8.0,1.0,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели,был неточным из-за сбитого прицела ружья.,-31.90625,-57.25,-75.125,14.03125,Выстрел в цели был,неточным из-за сбитого прицела ружья.,-39.25,-53.40625,17.53125
60,5.0,8.0,1.0,S,P,P,P_S-P,Выстрел в цели были неточными из-за сбитого прицела ружья.,Выстрел в цели,были неточными из-за сбитого прицела ружья.,-31.90625,-55.5,-76.375,11.03125,Выстрел в цели были,неточными из-за сбитого прицела ружья.,-41.625,-51.96875,17.21875
61,6.0,8.0,1.0,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель,был неточным из-за сбитого прицела ружья.,-28.328125,-57.25,-81.6875,3.890625,Выстрелы в цель был,неточным из-за сбитого прицела ружья.,-41.25,-53.40625,12.96875
62,7.0,8.0,1.0,P,S,P,P_P-S,Выстрелы в цель были неточными из-за сбитого прицела ружья.,Выстрелы в цель,были неточными из-за сбитого прицела ружья.,-28.328125,-55.5,-72.1875,11.640625,Выстрелы в цель были,неточными из-за сбитого прицела ружья.,-35.84375,-51.96875,15.625
63,8.0,8.0,1.0,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели,был неточным из-за сбитого прицела ружья.,-34.3125,-57.25,-85.0,6.5625,Выстрелы в цели был,неточным из-за сбитого прицела ружья.,-47.28125,-53.40625,15.6875
64,1.0,9.0,1.0,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес,была проложена для снабжения людей провизией.,-22.03125,-51.28125,-63.78125,9.53125,Дорога через лес была,проложена для снабжения людей провизией.,-29.703125,-49.96875,15.890625
65,2.0,9.0,1.0,S,S,P,P_S-S,Дорога через лес были проложены для снабжения людей провизией.,Дорога через лес,были проложены для снабжения людей провизией.,-22.03125,-51.1875,-70.125,3.09375,Дорога через лес были,проложены для снабжения людей провизией.,-36.875,-50.59375,17.34375
66,3.0,9.0,1.0,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса,была проложена для снабжения людей провизией.,-26.875,-51.28125,-67.9375,10.21875,Дорога через леса была,проложена для снабжения людей провизией.,-34.8125,-49.96875,16.84375
67,4.0,9.0,1.0,S,P,P,P_S-P,Дорога через леса были проложены для снабжения людей провизией.,Дорога через леса,были проложены для снабжения людей провизией.,-26.875,-51.1875,-72.1875,5.875,Дорога через леса были,проложены для снабжения людей провизией.,-40.3125,-50.59375,18.71875
68,5.0,9.0,1.0,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес,была проложена для снабжения людей провизией.,-27.359375,-51.28125,-73.4375,5.203125,Дороги через лес была,проложена для снабжения людей провизией.,-39.78125,-49.96875,16.3125
69,6.0,9.0,1.0,P,S,P,P_P-S,Дороги через лес были проложены для снабжения людей провизией.,Дороги через лес,были проложены для снабжения людей провизией.,-27.359375,-51.1875,-68.875,9.671875,Дороги через лес были,проложены для снабжения людей провизией.,-35.84375,-50.59375,17.5625
70,7.0,9.0,1.0,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса,была проложена для снабжения людей провизией.,-29.640625,-51.28125,-74.5625,6.359375,Дороги через леса была,проложена для снабжения людей провизией.,-42.375,-49.96875,17.78125
71,8.0,9.0,1.0,P,P,P,P_P-P,Дороги через леса были проложены для снабжения людей провизией.,Дороги через леса,были проложены для снабжения людей провизией.,-29.640625,-51.1875,-70.5625,10.265625,Дороги через леса были,проложены для снабжения людей провизией.,-38.25,-50.59375,18.28125
72,1.0,10.0,1.0,S,S,P,P_S-S,Жалоба на боль были тихими из-за нарушения дыхания пациента.,Жалоба на боль,были тихими из-за нарушения дыхания пациента.,-30.328125,-58.84375,-85.8125,3.359375,Жалоба на боль были,тихими из-за нарушения дыхания пациента.,-44.8125,-57.125,16.125
73,2.0,10.0,1.0,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли,была тихой из-за нарушения дыхания пациента.,-33.15625,-57.59375,-83.9375,6.8125,Жалоба на боли была,тихой из-за нарушения дыхания пациента.,-40.46875,-56.3125,12.84375
74,3.0,10.0,1.0,S,P,P,P_S-P,Жалоба на боли были тихими из-за нарушения дыхания пациента.,Жалоба на боли,были тихими из-за нарушения дыхания пациента.,-33.15625,-58.84375,-85.625,6.375,Жалоба на боли были,тихими из-за нарушения дыхания пациента.,-42.71875,-57.125,14.21875
75,4.0,10.0,1.0,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль,была тихой из-за нарушения дыхания пациента.,-26.21875,-57.59375,-81.1875,2.625,Жалобы на боль была,тихой из-за нарушения дыхания пациента.,-39.09375,-56.3125,14.21875
76,5.0,10.0,1.0,P,S,P,P_P-S,Жалобы на боль были тихими из-за нарушения дыхания пациента.,Жалобы на боль,были тихими из-за нарушения дыхания пациента.,-26.21875,-58.84375,-75.8125,9.25,Жалобы на боль были,тихими из-за нарушения дыхания пациента.,-34.71875,-57.125,16.03125
77,6.0,10.0,1.0,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли,была тихой из-за нарушения дыхания пациента.,-26.390625,-57.59375,-82.4375,1.546875,Жалобы на боли была,тихой из-за нарушения дыхания пациента.,-38.53125,-56.3125,12.40625
78,7.0,10.0,1.0,P,P,P,P_P-P,Жалобы на боли были тихими из-за нарушения дыхания пациента.,Жалобы на боли,были тихими из-за нарушения дыхания пациента.,-26.390625,-58.84375,-76.0625,9.171875,Жалобы на боли были,тихими из-за нарушения дыхания пациента.,-32.59375,-57.125,13.65625
79,8.0,10.0,1.0,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль,была тихой из-за нарушения дыхания пациента.,-30.328125,-57.59375,-81.5,6.421875,Жалоба на боль была,тихой из-за нарушения дыхания пациента.,-39.0,-56.3125,13.8125
80,1.0,11.0,1.0,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства,была рассказана в присутствии маленьких детей.,-29.671875,-47.03125,-65.25,11.453125,История про убийства была,рассказана в присутствии маленьких детей.,-37.28125,-46.59375,18.625
81,2.0,11.0,1.0,S,P,P,P_S-P,История про убийства были рассказаны в присутствии маленьких детей.,История про убийства,были рассказаны в присутствии маленьких детей.,-29.671875,-47.40625,-68.5625,8.515625,История про убийства были,рассказаны в присутствии маленьких детей.,-41.21875,-47.9375,20.59375
82,3.0,11.0,1.0,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.,Истории про убийство,была рассказана в присутствии маленьких детей.,-29.59375,-47.03125,-69.0625,7.5625,Истории про убийство была,рассказана в присутствии маленьких детей.,-40.96875,-46.59375,18.5
83,4.0,11.0,1.0,P,S,P,P_P-S,Истории про убийство были рассказаны в присутствии маленьких детей.,Истории про убийство,были рассказаны в присутствии маленьких детей.,-29.59375,-47.40625,-67.0625,9.9375,Истории про убийство были,рассказаны в присутствии маленьких детей.,-38.375,-47.9375,19.25
84,5.0,11.0,1.0,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.,Истории про убийства,была рассказана в присутствии маленьких детей.,-27.765625,-47.03125,-69.6875,5.109375,Истории про убийства была,рассказана в присутствии маленьких детей.,-40.75,-46.59375,17.65625
85,6.0,11.0,1.0,P,P,P,P_P-P,Истории про убийства были рассказаны в присутствии маленьких детей.,Истории про убийства,были рассказаны в присутствии маленьких детей.,-27.765625,-47.40625,-65.3125,9.859375,Истории про убийства были,рассказаны в присутствии маленьких детей.,-36.28125,-47.9375,18.90625
86,7.0,11.0,1.0,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.,История про убийство,была рассказана в присутствии маленьких детей.,-28.78125,-47.03125,-64.6875,11.125,История про убийство была,рассказана в присутствии маленьких детей.,-36.34375,-46.59375,18.25
87,8.0,11.0,1.0,S,S,P,P_S-S,История про убийство были рассказаны в присутствии маленьких детей.,История про убийство,были рассказаны в присутствии маленьких детей.,-28.78125,-47.40625,-69.1875,7.0,История про убийство были,рассказаны в присутствии маленьких детей.,-41.5625,-47.9375,20.3125
88,1.0,12.0,1.0,S,P,P,P_S-P,Тропинка через луга были протоптаны во время деревенской ярмарки.,Тропинка через луга,были протоптаны во время деревенской ярмарки.,-30.0,-52.96875,-74.4375,8.53125,Тропинка через луга были,протоптаны во время деревенской ярмарки.,-43.84375,-54.53125,23.9375
89,2.0,12.0,1.0,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.,Тропинки через луг,была протоптана во время деревенской ярмарки.,-30.125,-52.125,-74.1875,8.0625,Тропинки через луг была,протоптана во время деревенской ярмарки.,-43.875,-51.28125,20.96875
90,3.0,12.0,1.0,P,S,P,P_P-S,Тропинки через луг были протоптаны во время деревенской ярмарки.,Тропинки через луг,были протоптаны во время деревенской ярмарки.,-30.125,-52.96875,-68.75,14.34375,Тропинки через луг были,протоптаны во время деревенской ярмарки.,-38.40625,-54.53125,24.1875
91,4.0,12.0,1.0,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.,Тропинки через луга,была протоптана во время деревенской ярмарки.,-31.59375,-52.125,-79.25,4.46875,Тропинки через луга была,протоптана во время деревенской ярмарки.,-47.1875,-51.28125,19.21875
92,5.0,12.0,1.0,P,P,P,P_P-P,Тропинки через луга были протоптаны во время деревенской ярмарки.,Тропинки через луга,были протоптаны во время деревенской ярмарки.,-31.59375,-52.96875,-73.3125,11.25,Тропинки через луга были,протоптаны во время деревенской ярмарки.,-42.09375,-54.53125,23.3125
93,6.0,12.0,1.0,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.,Тропинка через луг,была протоптана во время деревенской ярмарки.,-27.109375,-52.125,-66.375,12.859375,Тропинка через луг была,протоптана во время деревенской ярмарки.,-35.65625,-51.28125,20.5625
94,7.0,12.0,1.0,S,S,P,P_S-S,Тропинка через луг были протоптаны во время деревенской ярмарки.,Тропинка через луг,были протоптаны во время деревенской ярмарки.,-27.109375,-52.96875,-72.125,7.953125,Тропинка через луг были,протоптаны во время деревенской ярмарки.,-41.65625,-54.53125,24.0625
