,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,masked_left,masked_full,need_to_predict,left_bert_is_singular,full_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score,full_bert_is_singular_score,full_bert_is_plural_score
17,2.0,3.0,1.0,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,Арка во дворы,были проделаны в несущей конструкции здания,Арка во дворы [MASK],Арка во дворы [MASK] [MASK] в несущей конструкции здания,были проделаны,True,True,2.3951575756073,1.3160876035690308,9.148632049560547,4.902115345001221
18,3.0,3.0,1.0,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор,была проделана в несущей конструкции здания,Арки во двор [MASK],Арки во двор [MASK] [MASK] в несущей конструкции здания,была проделана,False,False,2.341716766357422,5.100271224975586,5.143296718597412,9.465168952941895
19,4.0,3.0,1.0,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,Арки во двор,были проделаны в несущей конструкции здания,Арки во двор [MASK],Арки во двор [MASK] [MASK] в несущей конструкции здания,были проделаны,False,False,2.341716766357422,5.100271224975586,5.143296718597412,9.465168952941895
20,5.0,3.0,1.0,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы,была проделана в несущей конструкции здания,Арки во дворы [MASK],Арки во дворы [MASK] [MASK] в несущей конструкции здания,была проделана,False,False,1.7002358436584473,4.963901996612549,4.753898620605469,9.204523086547852
21,6.0,3.0,1.0,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,Арки во дворы,были проделаны в несущей конструкции здания,Арки во дворы [MASK],Арки во дворы [MASK] [MASK] в несущей конструкции здания,были проделаны,False,False,1.7002358436584473,4.963901996612549,4.753898620605469,9.204523086547852
22,7.0,3.0,1.0,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор,была проделана в несущей конструкции здания,Арка во двор [MASK],Арка во двор [MASK] [MASK] в несущей конструкции здания,была проделана,True,True,3.113349676132202,1.2938464879989624,9.50084114074707,4.772201061248779
23,8.0,3.0,1.0,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,Арка во двор,были проделаны в несущей конструкции здания,Арка во двор [MASK],Арка во двор [MASK] [MASK] в несущей конструкции здания,были проделаны,True,True,3.113349676132202,1.2938464879989624,9.50084114074707,4.772201061248779
24,1.0,4.0,1.0,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,Атака на крепости,были безуспешными из-за стратегической ошибки полководца.,Атака на крепости [MASK],Атака на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,были безуспешными,True,True,-0.3302468955516815,-1.2002344131469727,10.992847442626953,5.294030666351318
25,2.0,4.0,1.0,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость,была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость [MASK],Атаки на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,False,False,-1.157496690750122,-0.29574811458587646,5.576770782470703,9.949911117553711
26,3.0,4.0,1.0,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,Атаки на крепость,были безуспешными из-за стратегической ошибки полководца.,Атаки на крепость [MASK],Атаки на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,были безуспешными,False,False,-1.157496690750122,-0.29574811458587646,5.576770782470703,9.949911117553711
27,4.0,4.0,1.0,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости,была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости [MASK],Атаки на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,False,False,-0.9967325329780579,1.502266526222229,5.366115570068359,10.210328102111816
28,5.0,4.0,1.0,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,Атаки на крепости,были безуспешными из-за стратегической ошибки полководца.,Атаки на крепости [MASK],Атаки на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,были безуспешными,False,False,-0.9967325329780579,1.502266526222229,5.366115570068359,10.210328102111816
29,6.0,4.0,1.0,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость,была безуспешной из-за стратегической ошибки полководца.,Атака на крепость [MASK],Атака на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,True,True,-0.7773998379707336,-3.758004665374756,10.731695175170898,4.0605549812316895
30,7.0,4.0,1.0,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,Атака на крепость,были безуспешными из-за стратегической ошибки полководца.,Атака на крепость [MASK],Атака на крепость [MASK] [MASK] из-за стратегической ошибки полководца.,были безуспешными,True,True,-0.7773998379707336,-3.758004665374756,10.731695175170898,4.0605549812316895
31,8.0,4.0,1.0,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости,была безуспешной из-за стратегической ошибки полководца.,Атака на крепости [MASK],Атака на крепости [MASK] [MASK] из-за стратегической ошибки полководца.,была безуспешной,True,True,-0.3302468955516815,-1.2002344131469727,10.992847442626953,5.294030666351318
32,1.0,5.0,1.0,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей,был утерян во время уличной демонстрации.,Билеты в музей [MASK],Билеты в музей [MASK] [MASK] во время уличной демонстрации.,был утерян,False,False,-2.7543039321899414,0.5719085931777954,5.382760524749756,10.219194412231445
33,2.0,5.0,1.0,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,Билеты в музей,были утеряны во время уличной демонстрации.,Билеты в музей [MASK],Билеты в музей [MASK] [MASK] во время уличной демонстрации.,были утеряны,False,False,-2.7543039321899414,0.5719085931777954,5.382760524749756,10.219194412231445
34,3.0,5.0,1.0,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи,был утерян во время уличной демонстрации.,Билеты в музеи [MASK],Билеты в музеи [MASK] [MASK] во время уличной демонстрации.,был утерян,False,False,-1.5292608737945557,1.445478916168213,4.633660316467285,9.94140625
35,4.0,5.0,1.0,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,Билеты в музеи,были утеряны во время уличной демонстрации.,Билеты в музеи [MASK],Билеты в музеи [MASK] [MASK] во время уличной демонстрации.,были утеряны,False,False,-1.5292608737945557,1.445478916168213,4.633660316467285,9.94140625
36,5.0,5.0,1.0,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей,был утерян во время уличной демонстрации.,Билет в музей [MASK],Билет в музей [MASK] [MASK] во время уличной демонстрации.,был утерян,True,True,1.3653393983840942,-2.6400346755981445,12.115584373474121,5.0595293045043945
37,6.0,5.0,1.0,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,Билет в музей,были утеряны во время уличной демонстрации.,Билет в музей [MASK],Билет в музей [MASK] [MASK] во время уличной демонстрации.,были утеряны,True,True,1.3653393983840942,-2.6400346755981445,12.115584373474121,5.0595293045043945
38,7.0,5.0,1.0,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи,был утерян во время уличной демонстрации.,Билет в музеи [MASK],Билет в музеи [MASK] [MASK] во время уличной демонстрации.,был утерян,True,True,0.7062398195266724,-1.1531882286071777,11.394558906555176,6.456640720367432
39,8.0,5.0,1.0,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,Билет в музеи,были утеряны во время уличной демонстрации.,Билет в музеи [MASK],Билет в музеи [MASK] [MASK] во время уличной демонстрации.,были утеряны,True,True,0.7062398195266724,-1.1531882286071777,11.394558906555176,6.456640720367432
40,1.0,6.0,1.0,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,Взгляды на снимок,были брошены из-под длинных опущенных ресниц.,Взгляды на снимок [MASK],Взгляды на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,были брошены,True,False,-1.1556692123413086,-1.7989825010299683,4.020793914794922,9.041958808898926
41,2.0,6.0,1.0,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки,был брошен из-под длинных опущенных ресниц.,Взгляды на снимки [MASK],Взгляды на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,False,False,-0.9550057053565979,0.33959805965423584,3.0080578327178955,8.433202743530273
42,3.0,6.0,1.0,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,Взгляды на снимки,были брошены из-под длинных опущенных ресниц.,Взгляды на снимки [MASK],Взгляды на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,были брошены,False,False,-0.9550057053565979,0.33959805965423584,3.0080578327178955,8.433202743530273
43,4.0,6.0,1.0,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок,был брошен из-под длинных опущенных ресниц.,Взгляд на снимок [MASK],Взгляд на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,True,True,-0.02689841389656067,-3.0241751670837402,7.815515041351318,3.2045249938964844
44,5.0,6.0,1.0,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,Взгляд на снимок,были брошены из-под длинных опущенных ресниц.,Взгляд на снимок [MASK],Взгляд на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,были брошены,True,True,-0.02689841389656067,-3.0241751670837402,7.815515041351318,3.2045249938964844
45,6.0,6.0,1.0,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки,был брошен из-под длинных опущенных ресниц.,Взгляд на снимки [MASK],Взгляд на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,True,True,-0.8090915083885193,-1.1889839172363281,7.262417316436768,5.000288009643555
46,7.0,6.0,1.0,S,P,P,P_S-P,Взгляд на снимки были брошены из-под длинных опущенных ресниц.,Взгляд на снимки,были брошены из-под длинных опущенных ресниц.,Взгляд на снимки [MASK],Взгляд на снимки [MASK] [MASK] из-под длинных опущенных ресниц.,были брошены,True,True,-0.8090915083885193,-1.1889839172363281,7.262417316436768,5.000288009643555
47,8.0,6.0,1.0,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок,был брошен из-под длинных опущенных ресниц.,Взгляды на снимок [MASK],Взгляды на снимок [MASK] [MASK] из-под длинных опущенных ресниц.,был брошен,True,False,-1.1556692123413086,-1.7989825010299683,4.020793914794922,9.041958808898926
48,1.0,7.0,1.0,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки,было принято без излишне бурных эмоций.,Возражения на упреки [MASK],Возражения на упреки [MASK] [MASK] без излишне бурных эмоций.,было принято,False,False,1.8873486518859863,2.8514456748962402,7.642246246337891,8.169900894165039
49,2.0,7.0,1.0,P,P,P,P_P-P,Возражения на упреки были приняты без излишне бурных эмоций.,Возражения на упреки,были приняты без излишне бурных эмоций.,Возражения на упреки [MASK],Возражения на упреки [MASK] [MASK] без излишне бурных эмоций.,были приняты,False,False,1.8873486518859863,2.8514456748962402,7.642246246337891,8.169900894165039
50,3.0,7.0,1.0,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек,было принято без излишне бурных эмоций.,Возражение на упрек [MASK],Возражение на упрек [MASK] [MASK] без излишне бурных эмоций.,было принято,True,True,1.8968687057495117,-0.6494138240814209,9.641850471496582,6.033266544342041
51,4.0,7.0,1.0,S,S,P,P_S-S,Возражение на упрек были приняты без излишне бурных эмоций.,Возражение на упрек,были приняты без излишне бурных эмоций.,Возражение на упрек [MASK],Возражение на упрек [MASK] [MASK] без излишне бурных эмоций.,были приняты,True,True,1.8968687057495117,-0.6494138240814209,9.641850471496582,6.033266544342041
52,5.0,7.0,1.0,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки,было принято без излишне бурных эмоций.,Возражение на упреки [MASK],Возражение на упреки [MASK] [MASK] без излишне бурных эмоций.,было принято,True,True,2.578840494155884,-0.14443862438201904,9.480108261108398,4.971606731414795
53,6.0,7.0,1.0,S,P,P,P_S-P,Возражение на упреки были приняты без излишне бурных эмоций.,Возражение на упреки,были приняты без излишне бурных эмоций.,Возражение на упреки [MASK],Возражение на упреки [MASK] [MASK] без излишне бурных эмоций.,были приняты,True,True,2.578840494155884,-0.14443862438201904,9.480108261108398,4.971606731414795
54,7.0,7.0,1.0,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек,было принято без излишне бурных эмоций.,Возражения на упрек [MASK],Возражения на упрек [MASK] [MASK] без излишне бурных эмоций.,было принято,True,False,1.780181646347046,0.8306015729904175,7.073293685913086,8.274709701538086
55,8.0,7.0,1.0,P,S,P,P_P-S,Возражения на упрек были приняты без излишне бурных эмоций.,Возражения на упрек,были приняты без излишне бурных эмоций.,Возражения на упрек [MASK],Возражения на упрек [MASK] [MASK] без излишне бурных эмоций.,были приняты,True,False,1.780181646347046,0.8306015729904175,7.073293685913086,8.274709701538086
56,1.0,8.0,1.0,P,P,P,P_P-P,Выстрелы в цели были неточными из-за сбитого прицела ружья.,Выстрелы в цели,были неточными из-за сбитого прицела ружья.,Выстрелы в цели [MASK],Выстрелы в цели [MASK] [MASK] из-за сбитого прицела ружья.,были неточными,False,False,-0.13304340839385986,3.240905284881592,7.519832134246826,12.467729568481445
57,2.0,8.0,1.0,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель,был неточным из-за сбитого прицела ружья.,Выстрел в цель [MASK],Выстрел в цель [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,True,True,1.253202199935913,-2.6650137901306152,12.37491512298584,6.111897945404053
58,3.0,8.0,1.0,S,S,P,P_S-S,Выстрел в цель были неточными из-за сбитого прицела ружья.,Выстрел в цель,были неточными из-за сбитого прицела ружья.,Выстрел в цель [MASK],Выстрел в цель [MASK] [MASK] из-за сбитого прицела ружья.,были неточными,True,True,1.253202199935913,-2.6650137901306152,12.37491512298584,6.111897945404053
59,4.0,8.0,1.0,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели,был неточным из-за сбитого прицела ружья.,Выстрел в цели [MASK],Выстрел в цели [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,True,True,1.8940081596374512,0.3960907459259033,12.707566261291504,8.691688537597656
60,5.0,8.0,1.0,S,P,P,P_S-P,Выстрел в цели были неточными из-за сбитого прицела ружья.,Выстрел в цели,были неточными из-за сбитого прицела ружья.,Выстрел в цели [MASK],Выстрел в цели [MASK] [MASK] из-за сбитого прицела ружья.,были неточными,True,True,1.8940081596374512,0.3960907459259033,12.707566261291504,8.691688537597656
61,6.0,8.0,1.0,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель,был неточным из-за сбитого прицела ружья.,Выстрелы в цель [MASK],Выстрелы в цель [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,False,False,-0.11311274766921997,2.0931944847106934,8.048932075500488,12.387430191040039
62,7.0,8.0,1.0,P,S,P,P_P-S,Выстрелы в цель были неточными из-за сбитого прицела ружья.,Выстрелы в цель,были неточными из-за сбитого прицела ружья.,Выстрелы в цель [MASK],Выстрелы в цель [MASK] [MASK] из-за сбитого прицела ружья.,были неточными,False,False,-0.11311274766921997,2.0931944847106934,8.048932075500488,12.387430191040039
63,8.0,8.0,1.0,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели,был неточным из-за сбитого прицела ружья.,Выстрелы в цели [MASK],Выстрелы в цели [MASK] [MASK] из-за сбитого прицела ружья.,был неточным,False,False,-0.13304340839385986,3.240905284881592,7.519832134246826,12.467729568481445
64,1.0,9.0,1.0,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес,была проложена для снабжения людей провизией.,Дорога через лес [MASK],Дорога через лес [MASK] [MASK] для снабжения людей провизией.,была проложена,True,True,1.9962011575698853,-1.6472595930099487,13.52242374420166,6.201236248016357
65,2.0,9.0,1.0,S,S,P,P_S-S,Дорога через лес были проложены для снабжения людей провизией.,Дорога через лес,были проложены для снабжения людей провизией.,Дорога через лес [MASK],Дорога через лес [MASK] [MASK] для снабжения людей провизией.,были проложены,True,True,1.9962011575698853,-1.6472595930099487,13.52242374420166,6.201236248016357
66,3.0,9.0,1.0,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса,была проложена для снабжения людей провизией.,Дорога через леса [MASK],Дорога через леса [MASK] [MASK] для снабжения людей провизией.,была проложена,True,True,2.5663845539093018,0.08890354633331299,13.093657493591309,6.384657382965088
67,4.0,9.0,1.0,S,P,P,P_S-P,Дорога через леса были проложены для снабжения людей провизией.,Дорога через леса,были проложены для снабжения людей провизией.,Дорога через леса [MASK],Дорога через леса [MASK] [MASK] для снабжения людей провизией.,были проложены,True,True,2.5663845539093018,0.08890354633331299,13.093657493591309,6.384657382965088
68,5.0,9.0,1.0,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес,была проложена для снабжения людей провизией.,Дороги через лес [MASK],Дороги через лес [MASK] [MASK] для снабжения людей провизией.,была проложена,False,False,-1.2674736976623535,0.8956913948059082,6.819413661956787,12.744316101074219
69,6.0,9.0,1.0,P,S,P,P_P-S,Дороги через лес были проложены для снабжения людей провизией.,Дороги через лес,были проложены для снабжения людей провизией.,Дороги через лес [MASK],Дороги через лес [MASK] [MASK] для снабжения людей провизией.,были проложены,False,False,-1.2674736976623535,0.8956913948059082,6.819413661956787,12.744316101074219
70,7.0,9.0,1.0,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса,была проложена для снабжения людей провизией.,Дороги через леса [MASK],Дороги через леса [MASK] [MASK] для снабжения людей провизией.,была проложена,False,False,-0.48742544651031494,1.4109110832214355,5.968164920806885,12.49680233001709
71,8.0,9.0,1.0,P,P,P,P_P-P,Дороги через леса были проложены для снабжения людей провизией.,Дороги через леса,были проложены для снабжения людей провизией.,Дороги через леса [MASK],Дороги через леса [MASK] [MASK] для снабжения людей провизией.,были проложены,False,False,-0.48742544651031494,1.4109110832214355,5.968164920806885,12.49680233001709
72,1.0,10.0,1.0,S,S,P,P_S-S,Жалоба на боль были тихими из-за нарушения дыхания пациента.,Жалоба на боль,были тихими из-за нарушения дыхания пациента.,Жалоба на боль [MASK],Жалоба на боль [MASK] [MASK] из-за нарушения дыхания пациента.,были тихими,True,True,5.956091403961182,1.5067254304885864,14.131820678710938,7.937736988067627
73,2.0,10.0,1.0,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли,была тихой из-за нарушения дыхания пациента.,Жалоба на боли [MASK],Жалоба на боли [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,True,True,3.6136999130249023,0.5839332342147827,11.811651229858398,6.182400226593018
74,3.0,10.0,1.0,S,P,P,P_S-P,Жалоба на боли были тихими из-за нарушения дыхания пациента.,Жалоба на боли,были тихими из-за нарушения дыхания пациента.,Жалоба на боли [MASK],Жалоба на боли [MASK] [MASK] из-за нарушения дыхания пациента.,были тихими,True,True,3.6136999130249023,0.5839332342147827,11.811651229858398,6.182400226593018
75,4.0,10.0,1.0,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль,была тихой из-за нарушения дыхания пациента.,Жалобы на боль [MASK],Жалобы на боль [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,False,False,3.5628509521484375,6.004985332489014,8.997919082641602,13.347150802612305
76,5.0,10.0,1.0,P,S,P,P_P-S,Жалобы на боль были тихими из-за нарушения дыхания пациента.,Жалобы на боль,были тихими из-за нарушения дыхания пациента.,Жалобы на боль [MASK],Жалобы на боль [MASK] [MASK] из-за нарушения дыхания пациента.,были тихими,False,False,3.5628509521484375,6.004985332489014,8.997919082641602,13.347150802612305
77,6.0,10.0,1.0,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли,была тихой из-за нарушения дыхания пациента.,Жалобы на боли [MASK],Жалобы на боли [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,False,False,1.072279691696167,3.956554889678955,6.546672344207764,11.783670425415039
78,7.0,10.0,1.0,P,P,P,P_P-P,Жалобы на боли были тихими из-за нарушения дыхания пациента.,Жалобы на боли,были тихими из-за нарушения дыхания пациента.,Жалобы на боли [MASK],Жалобы на боли [MASK] [MASK] из-за нарушения дыхания пациента.,были тихими,False,False,1.072279691696167,3.956554889678955,6.546672344207764,11.783670425415039
79,8.0,10.0,1.0,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль,была тихой из-за нарушения дыхания пациента.,Жалоба на боль [MASK],Жалоба на боль [MASK] [MASK] из-за нарушения дыхания пациента.,была тихой,True,True,5.956091403961182,1.5067254304885864,14.131820678710938,7.937736988067627
80,1.0,11.0,1.0,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства,была рассказана в присутствии маленьких детей.,История про убийства [MASK],История про убийства [MASK] [MASK] в присутствии маленьких детей.,была рассказана,True,False,-0.12967628240585327,-0.3870924711227417,4.480997085571289,5.391853332519531
81,2.0,11.0,1.0,S,P,P,P_S-P,История про убийства были рассказаны в присутствии маленьких детей.,История про убийства,были рассказаны в присутствии маленьких детей.,История про убийства [MASK],История про убийства [MASK] [MASK] в присутствии маленьких детей.,были рассказаны,True,False,-0.12967628240585327,-0.3870924711227417,4.480997085571289,5.391853332519531
