,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,left,right,left_gpt_is_singular_score,left_gpt_is_plural_score
68,5.0,9.0,1.0,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес,была проложена для снабжения людей провизией.,0.50857663,3.839278
69,6.0,9.0,1.0,P,S,P,P_P-S,Дороги через лес были проложены для снабжения людей провизией.,Дороги через лес,были проложены для снабжения людей провизией.,0.50857663,3.839278
70,7.0,9.0,1.0,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса,была проложена для снабжения людей провизией.,-0.5370524,3.4528086
71,8.0,9.0,1.0,P,P,P,P_P-P,Дороги через леса были проложены для снабжения людей провизией.,Дороги через леса,были проложены для снабжения людей провизией.,-0.5370524,3.4528086
72,1.0,10.0,1.0,S,S,P,P_S-S,Жалоба на боль были тихими из-за нарушения дыхания пациента.,Жалоба на боль,были тихими из-за нарушения дыхания пациента.,2.0552092,-3.8003206
73,2.0,10.0,1.0,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли,была тихой из-за нарушения дыхания пациента.,3.3116937,-1.2911174
74,3.0,10.0,1.0,S,P,P,P_S-P,Жалоба на боли были тихими из-за нарушения дыхания пациента.,Жалоба на боли,были тихими из-за нарушения дыхания пациента.,3.3116937,-1.2911174
75,4.0,10.0,1.0,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль,была тихой из-за нарушения дыхания пациента.,-1.3207029,2.463767
76,5.0,10.0,1.0,P,S,P,P_P-S,Жалобы на боль были тихими из-за нарушения дыхания пациента.,Жалобы на боль,были тихими из-за нарушения дыхания пациента.,-1.3207029,2.463767
77,6.0,10.0,1.0,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли,была тихой из-за нарушения дыхания пациента.,-0.9348711,2.5681365
78,7.0,10.0,1.0,P,P,P,P_P-P,Жалобы на боли были тихими из-за нарушения дыхания пациента.,Жалобы на боли,были тихими из-за нарушения дыхания пациента.,-0.9348711,2.5681365
79,8.0,10.0,1.0,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль,была тихой из-за нарушения дыхания пациента.,2.0552092,-3.8003206
80,1.0,11.0,1.0,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства,была рассказана в присутствии маленьких детей.,2.3520188,-2.5374765
81,2.0,11.0,1.0,S,P,P,P_S-P,История про убийства были рассказаны в присутствии маленьких детей.,История про убийства,были рассказаны в присутствии маленьких детей.,2.3520188,-2.5374765
82,3.0,11.0,1.0,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.,Истории про убийство,была рассказана в присутствии маленьких детей.,-1.4361546,-1.6530685
83,4.0,11.0,1.0,P,S,P,P_P-S,Истории про убийство были рассказаны в присутствии маленьких детей.,Истории про убийство,были рассказаны в присутствии маленьких детей.,-1.4361546,-1.6530685
84,5.0,11.0,1.0,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.,Истории про убийства,была рассказана в присутствии маленьких детей.,-1.0799972,1.6976204
85,6.0,11.0,1.0,P,P,P,P_P-P,Истории про убийства были рассказаны в присутствии маленьких детей.,Истории про убийства,были рассказаны в присутствии маленьких детей.,-1.0799972,1.6976204
86,7.0,11.0,1.0,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.,История про убийство,была рассказана в присутствии маленьких детей.,1.4365001,-3.2305264
87,8.0,11.0,1.0,S,S,P,P_S-S,История про убийство были рассказаны в присутствии маленьких детей.,История про убийство,были рассказаны в присутствии маленьких детей.,1.4365001,-3.2305264
88,1.0,12.0,1.0,S,P,P,P_S-P,Тропинка через луга были протоптаны во время деревенской ярмарки.,Тропинка через луга,были протоптаны во время деревенской ярмарки.,4.646114,-3.3516903
89,2.0,12.0,1.0,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.,Тропинки через луг,была протоптана во время деревенской ярмарки.,-0.6208007,1.6179485
90,3.0,12.0,1.0,P,S,P,P_P-S,Тропинки через луг были протоптаны во время деревенской ярмарки.,Тропинки через луг,были протоптаны во время деревенской ярмарки.,-0.6208007,1.6179485
91,4.0,12.0,1.0,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.,Тропинки через луга,была протоптана во время деревенской ярмарки.,-0.8117727,3.004236
92,5.0,12.0,1.0,P,P,P,P_P-P,Тропинки через луга были протоптаны во время деревенской ярмарки.,Тропинки через луга,были протоптаны во время деревенской ярмарки.,-0.8117727,3.004236
93,6.0,12.0,1.0,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.,Тропинка через луг,была протоптана во время деревенской ярмарки.,3.6105225,-5.4724693
94,7.0,12.0,1.0,S,S,P,P_S-S,Тропинка через луг были протоптаны во время деревенской ярмарки.,Тропинка через луг,были протоптаны во время деревенской ярмарки.,3.6105225,-5.4724693
95,8.0,12.0,1.0,S,P,S,S_S-P,Тропинка через луга была протоптана во время деревенской ярмарки.,Тропинка через луга,была протоптана во время деревенской ярмарки.,4.646114,-3.3516903
96,1.0,13.0,1.0,P,S,S,S_P-S,Кружева на наряд было упаковано в вышитый шёлковый мешочек.,Кружева на наряд,было упаковано в вышитый шёлковый мешочек.,-1.5102551,-0.031127512
97,2.0,13.0,1.0,P,S,P,P_P-S,Кружева на наряд были упакованы в вышитый шёлковый мешочек.,Кружева на наряд,были упакованы в вышитый шёлковый мешочек.,-1.5102551,-0.031127512
98,3.0,13.0,1.0,P,P,S,S_P-P,Кружева на наряды было упаковано в вышитый шёлковый мешочек.,Кружева на наряды,было упаковано в вышитый шёлковый мешочек.,-1.5300871,2.401144
99,4.0,13.0,1.0,P,P,P,P_P-P,Кружева на наряды были упакованы в вышитый шёлковый мешочек.,Кружева на наряды,были упакованы в вышитый шёлковый мешочек.,-1.5300871,2.401144
100,5.0,13.0,1.0,S,S,S,S_S-S,Кружево на наряд было упаковано в вышитый шёлковый мешочек.,Кружево на наряд,было упаковано в вышитый шёлковый мешочек.,0.38980195,-2.1969543
101,6.0,13.0,1.0,S,S,P,P_S-S,Кружево на наряд были упакованы в вышитый шёлковый мешочек.,Кружево на наряд,были упакованы в вышитый шёлковый мешочек.,0.38980195,-2.1969543
102,7.0,13.0,1.0,S,P,S,S_S-P,Кружево на наряды было упаковано в вышитый шёлковый мешочек.,Кружево на наряды,было упаковано в вышитый шёлковый мешочек.,0.6716155,0.11280677
103,8.0,13.0,1.0,S,P,P,P_S-P,Кружево на наряды были упакованы в вышитый шёлковый мешочек.,Кружево на наряды,были упакованы в вышитый шёлковый мешочек.,0.6716155,0.11280677
104,1.0,14.0,1.0,P,S,P,P_P-S,Легенды про замок были записаны в старинной летописи графства.,Легенды про замок,были записаны в старинной летописи графства.,-2.0481231,-0.09343815
105,2.0,14.0,1.0,P,P,S,S_P-P,Легенды про замки была записана в старинной летописи графства.,Легенды про замки,была записана в старинной летописи графства.,-1.6952779,0.953717
106,3.0,14.0,1.0,P,P,P,P_P-P,Легенды про замки были записаны в старинной летописи графства.,Легенды про замки,были записаны в старинной летописи графства.,-1.6952779,0.953717
107,4.0,14.0,1.0,S,S,S,S_S-S,Легенда про замок была записана в старинной летописи графства.,Легенда про замок,была записана в старинной летописи графства.,0.19500789,-4.821574
108,5.0,14.0,1.0,S,S,P,P_S-S,Легенда про замок были записаны в старинной летописи графства.,Легенда про замок,были записаны в старинной летописи графства.,0.19500789,-4.821574
109,6.0,14.0,1.0,S,P,S,S_S-P,Легенда про замки была записана в старинной летописи графства.,Легенда про замки,была записана в старинной летописи графства.,1.2552571,-2.4563398
110,7.0,14.0,1.0,S,P,P,P_S-P,Легенда про замки были записаны в старинной летописи графства.,Легенда про замки,были записаны в старинной летописи графства.,1.2552571,-2.4563398
111,8.0,14.0,1.0,P,S,S,S_P-S,Легенды про замок была записана в старинной летописи графства.,Легенды про замок,была записана в старинной летописи графства.,-2.0481231,-0.09343815
112,1.0,15.0,1.0,P,P,S,S_P-P,Лестницы в подвалы была крутой из-за отсутствия свободного места.,Лестницы в подвалы,была крутой из-за отсутствия свободного места.,-2.5522,1.2536246
113,2.0,15.0,1.0,P,P,P,P_P-P,Лестницы в подвалы были крутыми из-за отсутствия свободного места.,Лестницы в подвалы,были крутыми из-за отсутствия свободного места.,-2.5522,1.2536246
114,3.0,15.0,1.0,S,S,S,S_S-S,Лестница в подвал была крутой из-за отсутствия свободного места.,Лестница в подвал,была крутой из-за отсутствия свободного места.,2.388242,-4.406683
115,4.0,15.0,1.0,S,S,P,P_S-S,Лестница в подвал были крутыми из-за отсутствия свободного места.,Лестница в подвал,были крутыми из-за отсутствия свободного места.,2.388242,-4.406683
116,5.0,15.0,1.0,S,P,S,S_S-P,Лестница в подвалы была крутой из-за отсутствия свободного места.,Лестница в подвалы,была крутой из-за отсутствия свободного места.,1.7234957,-2.8078752
117,6.0,15.0,1.0,S,P,P,P_S-P,Лестница в подвалы были крутыми из-за отсутствия свободного места.,Лестница в подвалы,были крутыми из-за отсутствия свободного места.,1.7234957,-2.8078752
118,7.0,15.0,1.0,P,S,S,S_P-S,Лестницы в подвал была крутой из-за отсутствия свободного места.,Лестницы в подвал,была крутой из-за отсутствия свободного места.,-1.3715318,0.88497025
119,8.0,15.0,1.0,P,S,P,P_P-S,Лестницы в подвал были крутыми из-за отсутствия свободного места.,Лестницы в подвал,были крутыми из-за отсутствия свободного места.,-1.3715318,0.88497025
120,1.0,16.0,1.0,P,P,P,P_P-P,Мосты через овраги были возведены после окончания военных действий.,Мосты через овраги,были возведены после окончания военных действий.,-0.3108077,3.0684419
121,2.0,16.0,1.0,S,S,S,S_S-S,Мост через овраг был возведён после окончания военных действий.,Мост через овраг,был возведён после окончания военных действий.,2.526889,-1.511272
122,3.0,16.0,1.0,S,S,P,P_S-S,Мост через овраг были возведены после окончания военных действий.,Мост через овраг,были возведены после окончания военных действий.,2.526889,-1.511272
123,4.0,16.0,1.0,S,P,S,S_S-P,Мост через овраги был возведён после окончания военных действий.,Мост через овраги,был возведён после окончания военных действий.,3.0751982,0.0856691
124,5.0,16.0,1.0,S,P,P,P_S-P,Мост через овраги были возведены после окончания военных действий.,Мост через овраги,были возведены после окончания военных действий.,3.0751982,0.0856691
125,6.0,16.0,1.0,P,S,S,S_P-S,Мосты через овраг был возведён после окончания военных действий.,Мосты через овраг,был возведён после окончания военных действий.,-0.5770743,4.005789
126,7.0,16.0,1.0,P,S,P,P_P-S,Мосты через овраг были возведены после окончания военных действий.,Мосты через овраг,были возведены после окончания военных действий.,-0.5770743,4.005789
127,8.0,16.0,1.0,P,P,S,S_P-P,Мосты через овраги был возведён после окончания военных действий.,Мосты через овраги,был возведён после окончания военных действий.,-0.3108077,3.0684419
128,1.0,17.0,1.0,S,S,S,S_S-S,Налог на доход был повышен из-за смены политического курса.,Налог на доход,был повышен из-за смены политического курса.,0.8444586,-3.6880023
129,2.0,17.0,1.0,S,S,P,P_S-S,Налог на доход были повышены из-за смены политического курса.,Налог на доход,были повышены из-за смены политического курса.,0.8444586,-3.6880023
130,3.0,17.0,1.0,S,P,S,S_S-P,Налог на доходы был повышен из-за смены политического курса.,Налог на доходы,был повышен из-за смены политического курса.,1.9219232,-2.7148328
131,4.0,17.0,1.0,S,P,P,P_S-P,Налог на доходы были повышены из-за смены политического курса.,Налог на доходы,были повышены из-за смены политического курса.,1.9219232,-2.7148328
132,5.0,17.0,1.0,P,S,S,S_P-S,Налоги на доход был повышен из-за смены политического курса.,Налоги на доход,был повышен из-за смены политического курса.,-1.9711641,-1.0362858
133,6.0,17.0,1.0,P,S,P,P_P-S,Налоги на доход были повышены из-за смены политического курса.,Налоги на доход,были повышены из-за смены политического курса.,-1.9711641,-1.0362858
134,7.0,17.0,1.0,P,P,S,S_P-P,Налоги на доходы был повышен из-за смены политического курса.,Налоги на доходы,был повышен из-за смены политического курса.,-2.3816323,-0.7768019
135,8.0,17.0,1.0,P,P,P,P_P-P,Налоги на доходы были повышены из-за смены политического курса.,Налоги на доходы,были повышены из-за смены политического курса.,-2.3816323,-0.7768019
136,1.0,18.0,1.0,S,S,P,P_S-S,Нападение на банк были совершены с применением холодного оружия. ,Нападение на банк,были совершены с применением холодного оружия.,3.360503,-3.947284
137,2.0,18.0,1.0,S,P,S,S_S-P,Нападение на банки было совершено с применением холодного оружия. ,Нападение на банки,было совершено с применением холодного оружия.,2.2046914,-2.223175
138,3.0,18.0,1.0,S,P,P,P_S-P,Нападение на банки были совершены с применением холодного оружия. ,Нападение на банки,были совершены с применением холодного оружия.,2.2046914,-2.223175
139,4.0,18.0,1.0,P,S,S,S_P-S,Нападения на банк было совершено с применением холодного оружия. ,Нападения на банк,было совершено с применением холодного оружия.,1.5315878,1.2813916
140,5.0,18.0,1.0,P,S,P,P_P-S,Нападения на банк были совершены с применением холодного оружия. ,Нападения на банк,были совершены с применением холодного оружия.,1.5315878,1.2813916
141,6.0,18.0,1.0,P,P,S,S_P-P,Нападения на банки было совершено с применением холодного оружия. ,Нападения на банки,было совершено с применением холодного оружия.,-0.83763117,1.6443874
142,7.0,18.0,1.0,P,P,P,P_P-P,Нападения на банки были совершены с применением холодного оружия. ,Нападения на банки,были совершены с применением холодного оружия.,-0.83763117,1.6443874
143,8.0,18.0,1.0,S,S,S,S_S-S,Нападение на банк было совершено с применением холодного оружия. ,Нападение на банк,было совершено с применением холодного оружия.,3.360503,-3.947284
144,1.0,19.0,1.0,S,P,S,S_S-P,Окно в сады было закрыто из-за сильного холодного ветра.,Окно в сады,было закрыто из-за сильного холодного ветра.,1.373351,-1.73002
145,2.0,19.0,1.0,S,P,P,P_S-P,Окно в сады были закрыты из-за сильного холодного ветра.,Окно в сады,были закрыты из-за сильного холодного ветра.,1.373351,-1.73002
146,3.0,19.0,1.0,P,S,S,S_P-S,Окна в сад было закрыто из-за сильного холодного ветра.,Окна в сад,было закрыто из-за сильного холодного ветра.,-0.27164543,3.3173416
147,4.0,19.0,1.0,P,S,P,P_P-S,Окна в сад были закрыты из-за сильного холодного ветра.,Окна в сад,были закрыты из-за сильного холодного ветра.,-0.27164543,3.3173416
148,5.0,19.0,1.0,P,P,S,S_P-P,Окна в сады было закрыто из-за сильного холодного ветра.,Окна в сады,было закрыто из-за сильного холодного ветра.,-1.1984255,1.9037008
149,6.0,19.0,1.0,P,P,P,P_P-P,Окна в сады были закрыты из-за сильного холодного ветра.,Окна в сады,были закрыты из-за сильного холодного ветра.,-1.1984255,1.9037008
150,7.0,19.0,1.0,S,S,S,S_S-S,Окно в сад было закрыто из-за сильного холодного ветра.,Окно в сад,было закрыто из-за сильного холодного ветра.,3.6974244,-3.1106348
151,8.0,19.0,1.0,S,S,P,P_S-S,Окно в сад были закрыты из-за сильного холодного ветра.,Окно в сад,были закрыты из-за сильного холодного ветра.,3.6974244,-3.1106348
152,1.0,20.0,1.0,S,P,P,P_S-P,Ответ на вопросы были неверными из-за недостаточного знания материала.,Ответ на вопросы,были неверными из-за недостаточного знания материала.,1.6888344,-3.487766
