,Prot,Sent,Group,N1,N2,Pred,Code,Sentence,leftA,rightA,masked_leftA,masked_fullA,need_to_predict,left_bert_is_singular,left_bert_is_singular_score,left_bert_is_plural_score
12,5.0,2.0,1.0,P,S,P,P_P-S,Анекдоты про экзамен были обидными для строгого пожилого учителя.,Анекдоты про экзамен были,обидными для строгого пожилого учителя.,Анекдоты про экзамен были [MASK],Анекдоты про экзамен были [MASK] для строгого пожилого учителя.,обидными,False,2.9691741466522217,3.625667095184326
13,6.0,2.0,1.0,P,P,S,S_P-P,Анекдоты про экзамены был обидным для строгого пожилого учителя.,Анекдоты про экзамены был,обидным для строгого пожилого учителя.,Анекдоты про экзамены был [MASK],Анекдоты про экзамены был [MASK] для строгого пожилого учителя.,обидным,True,2.6256794929504395,1.5387353897094727
14,7.0,2.0,1.0,P,P,P,P_P-P,Анекдоты про экзамены были обидными для строгого пожилого учителя.,Анекдоты про экзамены были,обидными для строгого пожилого учителя.,Анекдоты про экзамены были [MASK],Анекдоты про экзамены были [MASK] для строгого пожилого учителя.,обидными,False,2.836183786392212,3.4586501121520996
15,8.0,2.0,1.0,S,S,S,S_S-S,Анекдот про экзамен был обидным для строгого пожилого учителя.,Анекдот про экзамен был,обидным для строгого пожилого учителя.,Анекдот про экзамен был [MASK],Анекдот про экзамен был [MASK] для строгого пожилого учителя.,обидным,True,4.70324182510376,2.383023262023926
16,1.0,3.0,1.0,S,P,S,S_S-P,Арка во дворы была проделана в несущей конструкции здания,Арка во дворы была,проделана в несущей конструкции здания,Арка во дворы была [MASK],Арка во дворы была [MASK] в несущей конструкции здания,проделана,True,3.9791617393493652,1.9826717376708984
17,2.0,3.0,1.0,S,P,P,P_S-P,Арка во дворы были проделаны в несущей конструкции здания,Арка во дворы были,проделаны в несущей конструкции здания,Арка во дворы были [MASK],Арка во дворы были [MASK] в несущей конструкции здания,проделаны,False,1.2489290237426758,2.4477267265319824
18,3.0,3.0,1.0,P,S,S,S_P-S,Арки во двор была проделана в несущей конструкции здания,Арки во двор была,проделана в несущей конструкции здания,Арки во двор была [MASK],Арки во двор была [MASK] в несущей конструкции здания,проделана,True,2.5129504203796387,0.3920995593070984
19,4.0,3.0,1.0,P,S,P,P_P-S,Арки во двор были проделаны в несущей конструкции здания,Арки во двор были,проделаны в несущей конструкции здания,Арки во двор были [MASK],Арки во двор были [MASK] в несущей конструкции здания,проделаны,False,0.1707233190536499,1.3255277872085571
20,5.0,3.0,1.0,P,P,S,S_P-P,Арки во дворы была проделана в несущей конструкции здания,Арки во дворы была,проделана в несущей конструкции здания,Арки во дворы была [MASK],Арки во дворы была [MASK] в несущей конструкции здания,проделана,True,2.199741840362549,0.11342132091522217
21,6.0,3.0,1.0,P,P,P,P_P-P,Арки во дворы были проделаны в несущей конструкции здания,Арки во дворы были,проделаны в несущей конструкции здания,Арки во дворы были [MASK],Арки во дворы были [MASK] в несущей конструкции здания,проделаны,False,-0.11686217784881592,1.0979328155517578
22,7.0,3.0,1.0,S,S,S,S_S-S,Арка во двор была проделана в несущей конструкции здания,Арка во двор была,проделана в несущей конструкции здания,Арка во двор была [MASK],Арка во двор была [MASK] в несущей конструкции здания,проделана,True,3.962904930114746,1.8579809665679932
23,8.0,3.0,1.0,S,S,P,P_S-S,Арка во двор были проделаны в несущей конструкции здания,Арка во двор были,проделаны в несущей конструкции здания,Арка во двор были [MASK],Арка во двор были [MASK] в несущей конструкции здания,проделаны,False,1.2755333185195923,2.57659912109375
24,1.0,4.0,1.0,S,P,P,P_S-P,Атака на крепости были безуспешными из-за стратегической ошибки полководца.,Атака на крепости были,безуспешными из-за стратегической ошибки полководца.,Атака на крепости были [MASK],Атака на крепости были [MASK] из-за стратегической ошибки полководца.,безуспешными,False,5.275625228881836,6.052371025085449
25,2.0,4.0,1.0,P,S,S,S_P-S,Атаки на крепость была безуспешной из-за стратегической ошибки полководца.,Атаки на крепость была,безуспешной из-за стратегической ошибки полководца.,Атаки на крепость была [MASK],Атаки на крепость была [MASK] из-за стратегической ошибки полководца.,безуспешной,True,5.408945083618164,4.05001163482666
26,3.0,4.0,1.0,P,S,P,P_P-S,Атаки на крепость были безуспешными из-за стратегической ошибки полководца.,Атаки на крепость были,безуспешными из-за стратегической ошибки полководца.,Атаки на крепость были [MASK],Атаки на крепость были [MASK] из-за стратегической ошибки полководца.,безуспешными,False,4.830469608306885,5.507552623748779
27,4.0,4.0,1.0,P,P,S,S_P-P,Атаки на крепости была безуспешной из-за стратегической ошибки полководца.,Атаки на крепости была,безуспешной из-за стратегической ошибки полководца.,Атаки на крепости была [MASK],Атаки на крепости была [MASK] из-за стратегической ошибки полководца.,безуспешной,True,5.372956275939941,4.073073387145996
28,5.0,4.0,1.0,P,P,P,P_P-P,Атаки на крепости были безуспешными из-за стратегической ошибки полководца.,Атаки на крепости были,безуспешными из-за стратегической ошибки полководца.,Атаки на крепости были [MASK],Атаки на крепости были [MASK] из-за стратегической ошибки полководца.,безуспешными,False,4.683968544006348,5.316086769104004
29,6.0,4.0,1.0,S,S,S,S_S-S,Атака на крепость была безуспешной из-за стратегической ошибки полководца.,Атака на крепость была,безуспешной из-за стратегической ошибки полководца.,Атака на крепость была [MASK],Атака на крепость была [MASK] из-за стратегической ошибки полководца.,безуспешной,True,5.1326985359191895,3.590017557144165
30,7.0,4.0,1.0,S,S,P,P_S-S,Атака на крепость были безуспешными из-за стратегической ошибки полководца.,Атака на крепость были,безуспешными из-за стратегической ошибки полководца.,Атака на крепость были [MASK],Атака на крепость были [MASK] из-за стратегической ошибки полководца.,безуспешными,False,5.450125694274902,6.189851760864258
31,8.0,4.0,1.0,S,P,S,S_S-P,Атака на крепости была безуспешной из-за стратегической ошибки полководца.,Атака на крепости была,безуспешной из-за стратегической ошибки полководца.,Атака на крепости была [MASK],Атака на крепости была [MASK] из-за стратегической ошибки полководца.,безуспешной,True,5.128240585327148,3.544816493988037
32,1.0,5.0,1.0,P,S,S,S_P-S,Билеты в музей был утерян во время уличной демонстрации.,Билеты в музей был,утерян во время уличной демонстрации.,Билеты в музей был [MASK],Билеты в музей был [MASK] во время уличной демонстрации.,утерян,True,5.491812705993652,4.99329948425293
33,2.0,5.0,1.0,P,S,P,P_P-S,Билеты в музей были утеряны во время уличной демонстрации.,Билеты в музей были,утеряны во время уличной демонстрации.,Билеты в музей были [MASK],Билеты в музей были [MASK] во время уличной демонстрации.,утеряны,False,2.9584622383117676,7.101964950561523
34,3.0,5.0,1.0,P,P,S,S_P-P,Билеты в музеи был утерян во время уличной демонстрации.,Билеты в музеи был,утерян во время уличной демонстрации.,Билеты в музеи был [MASK],Билеты в музеи был [MASK] во время уличной демонстрации.,утерян,True,6.836363315582275,5.318994522094727
35,4.0,5.0,1.0,P,P,P,P_P-P,Билеты в музеи были утеряны во время уличной демонстрации.,Билеты в музеи были,утеряны во время уличной демонстрации.,Билеты в музеи были [MASK],Билеты в музеи были [MASK] во время уличной демонстрации.,утеряны,False,4.116379737854004,8.427906036376953
36,5.0,5.0,1.0,S,S,S,S_S-S,Билет в музей был утерян во время уличной демонстрации.,Билет в музей был,утерян во время уличной демонстрации.,Билет в музей был [MASK],Билет в музей был [MASK] во время уличной демонстрации.,утерян,True,7.75758171081543,1.1985564231872559
37,6.0,5.0,1.0,S,S,P,P_S-S,Билет в музей были утеряны во время уличной демонстрации.,Билет в музей были,утеряны во время уличной демонстрации.,Билет в музей были [MASK],Билет в музей были [MASK] во время уличной демонстрации.,утеряны,False,4.370665073394775,6.065285682678223
38,7.0,5.0,1.0,S,P,S,S_S-P,Билет в музеи был утерян во время уличной демонстрации.,Билет в музеи был,утерян во время уличной демонстрации.,Билет в музеи был [MASK],Билет в музеи был [MASK] во время уличной демонстрации.,утерян,True,8.059213638305664,1.0453407764434814
39,8.0,5.0,1.0,S,P,P,P_S-P,Билет в музеи были утеряны во время уличной демонстрации.,Билет в музеи были,утеряны во время уличной демонстрации.,Билет в музеи были [MASK],Билет в музеи были [MASK] во время уличной демонстрации.,утеряны,False,4.854814529418945,6.371238708496094
40,1.0,6.0,1.0,P,S,P,P_P-S,Взгляды на снимок были брошены из-под длинных опущенных ресниц.,Взгляды на снимок были,брошены из-под длинных опущенных ресниц.,Взгляды на снимок были [MASK],Взгляды на снимок были [MASK] из-под длинных опущенных ресниц.,брошены,False,-0.9387525320053101,3.4729034900665283
41,2.0,6.0,1.0,P,P,S,S_P-P,Взгляды на снимки был брошен из-под длинных опущенных ресниц.,Взгляды на снимки был,брошен из-под длинных опущенных ресниц.,Взгляды на снимки был [MASK],Взгляды на снимки был [MASK] из-под длинных опущенных ресниц.,брошен,False,-0.07433830201625824,1.6369900703430176
42,3.0,6.0,1.0,P,P,P,P_P-P,Взгляды на снимки были брошены из-под длинных опущенных ресниц.,Взгляды на снимки были,брошены из-под длинных опущенных ресниц.,Взгляды на снимки были [MASK],Взгляды на снимки были [MASK] из-под длинных опущенных ресниц.,брошены,False,-1.195788860321045,3.261669874191284
43,4.0,6.0,1.0,S,S,S,S_S-S,Взгляд на снимок был брошен из-под длинных опущенных ресниц.,Взгляд на снимок был,брошен из-под длинных опущенных ресниц.,Взгляд на снимок был [MASK],Взгляд на снимок был [MASK] из-под длинных опущенных ресниц.,брошен,True,3.8198201656341553,-1.7630393505096436
44,5.0,6.0,1.0,S,S,P,P_S-S,Взгляд на снимок были брошены из-под длинных опущенных ресниц.,Взгляд на снимок были,брошены из-под длинных опущенных ресниц.,Взгляд на снимок были [MASK],Взгляд на снимок были [MASK] из-под длинных опущенных ресниц.,брошены,False,1.871710181236267,1.9403269290924072
45,6.0,6.0,1.0,S,P,S,S_S-P,Взгляд на снимки был брошен из-под длинных опущенных ресниц.,Взгляд на снимки был,брошен из-под длинных опущенных ресниц.,Взгляд на снимки был [MASK],Взгляд на снимки был [MASK] из-под длинных опущенных ресниц.,брошен,True,3.4020073413848877,-1.7546831369400024
46,7.0,6.0,1.0,S,P,P,P_S-P,Взгляд на снимки были брошены из-под длинных опущенных ресниц.,Взгляд на снимки были,брошены из-под длинных опущенных ресниц.,Взгляд на снимки были [MASK],Взгляд на снимки были [MASK] из-под длинных опущенных ресниц.,брошены,False,1.4814735651016235,2.774851083755493
47,8.0,6.0,1.0,P,S,S,S_P-S,Взгляды на снимок был брошен из-под длинных опущенных ресниц.,Взгляды на снимок был,брошен из-под длинных опущенных ресниц.,Взгляды на снимок был [MASK],Взгляды на снимок был [MASK] из-под длинных опущенных ресниц.,брошен,False,1.1335529088974,1.7756304740905762
48,1.0,7.0,1.0,P,P,S,S_P-P,Возражения на упреки было принято без излишне бурных эмоций.,Возражения на упреки было,принято без излишне бурных эмоций.,Возражения на упреки было [MASK],Возражения на упреки было [MASK] без излишне бурных эмоций.,принято,True,8.302624702453613,3.199422597885132
49,2.0,7.0,1.0,P,P,P,P_P-P,Возражения на упреки были приняты без излишне бурных эмоций.,Возражения на упреки были,приняты без излишне бурных эмоций.,Возражения на упреки были [MASK],Возражения на упреки были [MASK] без излишне бурных эмоций.,приняты,False,3.9860153198242188,9.262134552001953
50,3.0,7.0,1.0,S,S,S,S_S-S,Возражение на упрек было принято без излишне бурных эмоций.,Возражение на упрек было,принято без излишне бурных эмоций.,Возражение на упрек было [MASK],Возражение на упрек было [MASK] без излишне бурных эмоций.,принято,True,9.33913516998291,4.423787593841553
51,4.0,7.0,1.0,S,S,P,P_S-S,Возражение на упрек были приняты без излишне бурных эмоций.,Возражение на упрек были,приняты без излишне бурных эмоций.,Возражение на упрек были [MASK],Возражение на упрек были [MASK] без излишне бурных эмоций.,приняты,False,4.9536356925964355,8.940919876098633
52,5.0,7.0,1.0,S,P,S,S_S-P,Возражение на упреки было принято без излишне бурных эмоций.,Возражение на упреки было,принято без излишне бурных эмоций.,Возражение на упреки было [MASK],Возражение на упреки было [MASK] без излишне бурных эмоций.,принято,True,9.215682983398438,3.998018741607666
53,6.0,7.0,1.0,S,P,P,P_S-P,Возражение на упреки были приняты без излишне бурных эмоций.,Возражение на упреки были,приняты без излишне бурных эмоций.,Возражение на упреки были [MASK],Возражение на упреки были [MASK] без излишне бурных эмоций.,приняты,False,5.573861598968506,8.218961715698242
54,7.0,7.0,1.0,P,S,S,S_P-S,Возражения на упрек было принято без излишне бурных эмоций.,Возражения на упрек было,принято без излишне бурных эмоций.,Возражения на упрек было [MASK],Возражения на упрек было [MASK] без излишне бурных эмоций.,принято,True,8.624399185180664,3.7645068168640137
55,8.0,7.0,1.0,P,S,P,P_P-S,Возражения на упрек были приняты без излишне бурных эмоций.,Возражения на упрек были,приняты без излишне бурных эмоций.,Возражения на упрек были [MASK],Возражения на упрек были [MASK] без излишне бурных эмоций.,приняты,False,3.8144493103027344,9.588016510009766
56,1.0,8.0,1.0,P,P,P,P_P-P,Выстрелы в цели были неточными из-за сбитого прицела ружья.,Выстрелы в цели были,неточными из-за сбитого прицела ружья.,Выстрелы в цели были [MASK],Выстрелы в цели были [MASK] из-за сбитого прицела ружья.,неточными,False,5.395291805267334,5.737958908081055
57,2.0,8.0,1.0,S,S,S,S_S-S,Выстрел в цель был неточным из-за сбитого прицела ружья.,Выстрел в цель был,неточным из-за сбитого прицела ружья.,Выстрел в цель был [MASK],Выстрел в цель был [MASK] из-за сбитого прицела ружья.,неточным,True,5.390171051025391,3.556220531463623
58,3.0,8.0,1.0,S,S,P,P_S-S,Выстрел в цель были неточными из-за сбитого прицела ружья.,Выстрел в цель были,неточными из-за сбитого прицела ружья.,Выстрел в цель были [MASK],Выстрел в цель были [MASK] из-за сбитого прицела ружья.,неточными,False,5.1602983474731445,5.405335426330566
59,4.0,8.0,1.0,S,P,S,S_S-P,Выстрел в цели был неточным из-за сбитого прицела ружья.,Выстрел в цели был,неточным из-за сбитого прицела ружья.,Выстрел в цели был [MASK],Выстрел в цели был [MASK] из-за сбитого прицела ружья.,неточным,True,5.477944374084473,3.763230323791504
60,5.0,8.0,1.0,S,P,P,P_S-P,Выстрел в цели были неточными из-за сбитого прицела ружья.,Выстрел в цели были,неточными из-за сбитого прицела ружья.,Выстрел в цели были [MASK],Выстрел в цели были [MASK] из-за сбитого прицела ружья.,неточными,False,5.108612060546875,5.403160095214844
61,6.0,8.0,1.0,P,S,S,S_P-S,Выстрелы в цель был неточным из-за сбитого прицела ружья.,Выстрелы в цель был,неточным из-за сбитого прицела ружья.,Выстрелы в цель был [MASK],Выстрелы в цель был [MASK] из-за сбитого прицела ружья.,неточным,True,4.906839847564697,4.449026107788086
62,7.0,8.0,1.0,P,S,P,P_P-S,Выстрелы в цель были неточными из-за сбитого прицела ружья.,Выстрелы в цель были,неточными из-за сбитого прицела ружья.,Выстрелы в цель были [MASK],Выстрелы в цель были [MASK] из-за сбитого прицела ружья.,неточными,False,5.5087714195251465,5.736802101135254
63,8.0,8.0,1.0,P,P,S,S_P-P,Выстрелы в цели был неточным из-за сбитого прицела ружья.,Выстрелы в цели был,неточным из-за сбитого прицела ружья.,Выстрелы в цели был [MASK],Выстрелы в цели был [MASK] из-за сбитого прицела ружья.,неточным,True,4.791173934936523,4.593924045562744
64,1.0,9.0,1.0,S,S,S,S_S-S,Дорога через лес была проложена для снабжения людей провизией.,Дорога через лес была,проложена для снабжения людей провизией.,Дорога через лес была [MASK],Дорога через лес была [MASK] для снабжения людей провизией.,проложена,True,8.489818572998047,4.576648712158203
65,2.0,9.0,1.0,S,S,P,P_S-S,Дорога через лес были проложены для снабжения людей провизией.,Дорога через лес были,проложены для снабжения людей провизией.,Дорога через лес были [MASK],Дорога через лес были [MASK] для снабжения людей провизией.,проложены,False,7.058483600616455,7.564002513885498
66,3.0,9.0,1.0,S,P,S,S_S-P,Дорога через леса была проложена для снабжения людей провизией.,Дорога через леса была,проложена для снабжения людей провизией.,Дорога через леса была [MASK],Дорога через леса была [MASK] для снабжения людей провизией.,проложена,True,8.260592460632324,4.339138031005859
67,4.0,9.0,1.0,S,P,P,P_S-P,Дорога через леса были проложены для снабжения людей провизией.,Дорога через леса были,проложены для снабжения людей провизией.,Дорога через леса были [MASK],Дорога через леса были [MASK] для снабжения людей провизией.,проложены,False,6.572118759155273,7.943439483642578
68,5.0,9.0,1.0,P,S,S,S_P-S,Дороги через лес была проложена для снабжения людей провизией.,Дороги через лес была,проложена для снабжения людей провизией.,Дороги через лес была [MASK],Дороги через лес была [MASK] для снабжения людей провизией.,проложена,True,8.8042631149292,6.565860271453857
69,6.0,9.0,1.0,P,S,P,P_P-S,Дороги через лес были проложены для снабжения людей провизией.,Дороги через лес были,проложены для снабжения людей провизией.,Дороги через лес были [MASK],Дороги через лес были [MASK] для снабжения людей провизией.,проложены,False,4.289353847503662,9.766107559204102
70,7.0,9.0,1.0,P,P,S,S_P-P,Дороги через леса была проложена для снабжения людей провизией.,Дороги через леса была,проложена для снабжения людей провизией.,Дороги через леса была [MASK],Дороги через леса была [MASK] для снабжения людей провизией.,проложена,True,8.419276237487793,5.7012834548950195
71,8.0,9.0,1.0,P,P,P,P_P-P,Дороги через леса были проложены для снабжения людей провизией.,Дороги через леса были,проложены для снабжения людей провизией.,Дороги через леса были [MASK],Дороги через леса были [MASK] для снабжения людей провизией.,проложены,False,3.9750216007232666,9.544370651245117
72,1.0,10.0,1.0,S,S,P,P_S-S,Жалоба на боль были тихими из-за нарушения дыхания пациента.,Жалоба на боль были,тихими из-за нарушения дыхания пациента.,Жалоба на боль были [MASK],Жалоба на боль были [MASK] из-за нарушения дыхания пациента.,тихими,True,0.3630714416503906,-1.00810706615448
73,2.0,10.0,1.0,S,P,S,S_S-P,Жалоба на боли была тихой из-за нарушения дыхания пациента.,Жалоба на боли была,тихой из-за нарушения дыхания пациента.,Жалоба на боли была [MASK],Жалоба на боли была [MASK] из-за нарушения дыхания пациента.,тихой,True,1.3903861045837402,-2.1655261516571045
74,3.0,10.0,1.0,S,P,P,P_S-P,Жалоба на боли были тихими из-за нарушения дыхания пациента.,Жалоба на боли были,тихими из-за нарушения дыхания пациента.,Жалоба на боли были [MASK],Жалоба на боли были [MASK] из-за нарушения дыхания пациента.,тихими,True,1.1293156147003174,-0.10528361797332764
75,4.0,10.0,1.0,P,S,S,S_P-S,Жалобы на боль была тихой из-за нарушения дыхания пациента.,Жалобы на боль была,тихой из-за нарушения дыхания пациента.,Жалобы на боль была [MASK],Жалобы на боль была [MASK] из-за нарушения дыхания пациента.,тихой,True,1.0918831825256348,-1.854637861251831
76,5.0,10.0,1.0,P,S,P,P_P-S,Жалобы на боль были тихими из-за нарушения дыхания пациента.,Жалобы на боль были,тихими из-за нарушения дыхания пациента.,Жалобы на боль были [MASK],Жалобы на боль были [MASK] из-за нарушения дыхания пациента.,тихими,True,0.4645226001739502,-0.8679336309432983
77,6.0,10.0,1.0,P,P,S,S_P-P,Жалобы на боли была тихой из-за нарушения дыхания пациента.,Жалобы на боли была,тихой из-за нарушения дыхания пациента.,Жалобы на боли была [MASK],Жалобы на боли была [MASK] из-за нарушения дыхания пациента.,тихой,True,1.6328785419464111,-1.3139183521270752
78,7.0,10.0,1.0,P,P,P,P_P-P,Жалобы на боли были тихими из-за нарушения дыхания пациента.,Жалобы на боли были,тихими из-за нарушения дыхания пациента.,Жалобы на боли были [MASK],Жалобы на боли были [MASK] из-за нарушения дыхания пациента.,тихими,True,0.9478603005409241,-0.15514019131660461
79,8.0,10.0,1.0,S,S,S,S_S-S,Жалоба на боль была тихой из-за нарушения дыхания пациента.,Жалоба на боль была,тихой из-за нарушения дыхания пациента.,Жалоба на боль была [MASK],Жалоба на боль была [MASK] из-за нарушения дыхания пациента.,тихой,True,0.6453951597213745,-2.9174892902374268
80,1.0,11.0,1.0,S,P,S,S_S-P,История про убийства была рассказана в присутствии маленьких детей.,История про убийства была,рассказана в присутствии маленьких детей.,История про убийства была [MASK],История про убийства была [MASK] в присутствии маленьких детей.,рассказана,True,5.644336700439453,3.796006679534912
81,2.0,11.0,1.0,S,P,P,P_S-P,История про убийства были рассказаны в присутствии маленьких детей.,История про убийства были,рассказаны в присутствии маленьких детей.,История про убийства были [MASK],История про убийства были [MASK] в присутствии маленьких детей.,рассказаны,False,4.135393142700195,4.420531272888184
82,3.0,11.0,1.0,P,S,S,S_P-S,Истории про убийство была рассказана в присутствии маленьких детей.,Истории про убийство была,рассказана в присутствии маленьких детей.,Истории про убийство была [MASK],Истории про убийство была [MASK] в присутствии маленьких детей.,рассказана,True,4.122269153594971,1.4538246393203735
83,4.0,11.0,1.0,P,S,P,P_P-S,Истории про убийство были рассказаны в присутствии маленьких детей.,Истории про убийство были,рассказаны в присутствии маленьких детей.,Истории про убийство были [MASK],Истории про убийство были [MASK] в присутствии маленьких детей.,рассказаны,False,3.4021191596984863,5.588111877441406
84,5.0,11.0,1.0,P,P,S,S_P-P,Истории про убийства была рассказана в присутствии маленьких детей.,Истории про убийства была,рассказана в присутствии маленьких детей.,Истории про убийства была [MASK],Истории про убийства была [MASK] в присутствии маленьких детей.,рассказана,True,4.224570274353027,1.8376544713974
85,6.0,11.0,1.0,P,P,P,P_P-P,Истории про убийства были рассказаны в присутствии маленьких детей.,Истории про убийства были,рассказаны в присутствии маленьких детей.,Истории про убийства были [MASK],Истории про убийства были [MASK] в присутствии маленьких детей.,рассказаны,False,3.475578784942627,5.513625144958496
86,7.0,11.0,1.0,S,S,S,S_S-S,История про убийство была рассказана в присутствии маленьких детей.,История про убийство была,рассказана в присутствии маленьких детей.,История про убийство была [MASK],История про убийство была [MASK] в присутствии маленьких детей.,рассказана,True,5.730003356933594,3.7729392051696777
87,8.0,11.0,1.0,S,S,P,P_S-S,История про убийство были рассказаны в присутствии маленьких детей.,История про убийство были,рассказаны в присутствии маленьких детей.,История про убийство были [MASK],История про убийство были [MASK] в присутствии маленьких детей.,рассказаны,True,5.250555038452148,4.791812419891357
88,1.0,12.0,1.0,S,P,P,P_S-P,Тропинка через луга были протоптаны во время деревенской ярмарки.,Тропинка через луга были,протоптаны во время деревенской ярмарки.,Тропинка через луга были [MASK],Тропинка через луга были [MASK] во время деревенской ярмарки.,протоптаны,True,-0.40337568521499634,-0.5466728210449219
89,2.0,12.0,1.0,P,S,S,S_P-S,Тропинки через луг была протоптана во время деревенской ярмарки.,Тропинки через луг была,протоптана во время деревенской ярмарки.,Тропинки через луг была [MASK],Тропинки через луг была [MASK] во время деревенской ярмарки.,протоптана,True,0.3965533375740051,-1.3373479843139648
90,3.0,12.0,1.0,P,S,P,P_P-S,Тропинки через луг были протоптаны во время деревенской ярмарки.,Тропинки через луг были,протоптаны во время деревенской ярмарки.,Тропинки через луг были [MASK],Тропинки через луг были [MASK] во время деревенской ярмарки.,протоптаны,False,-1.494653344154358,-0.7438923716545105
91,4.0,12.0,1.0,P,P,S,S_P-P,Тропинки через луга была протоптана во время деревенской ярмарки.,Тропинки через луга была,протоптана во время деревенской ярмарки.,Тропинки через луга была [MASK],Тропинки через луга была [MASK] во время деревенской ярмарки.,протоптана,True,0.05472368001937866,-1.5197463035583496
92,5.0,12.0,1.0,P,P,P,P_P-P,Тропинки через луга были протоптаны во время деревенской ярмарки.,Тропинки через луга были,протоптаны во время деревенской ярмарки.,Тропинки через луга были [MASK],Тропинки через луга были [MASK] во время деревенской ярмарки.,протоптаны,False,-2.055819511413574,-1.2351974248886108
93,6.0,12.0,1.0,S,S,S,S_S-S,Тропинка через луг была протоптана во время деревенской ярмарки.,Тропинка через луг была,протоптана во время деревенской ярмарки.,Тропинка через луг была [MASK],Тропинка через луг была [MASK] во время деревенской ярмарки.,протоптана,True,0.8488358855247498,-0.9165664911270142
94,7.0,12.0,1.0,S,S,P,P_S-S,Тропинка через луг были протоптаны во время деревенской ярмарки.,Тропинка через луг были,протоптаны во время деревенской ярмарки.,Тропинка через луг были [MASK],Тропинка через луг были [MASK] во время деревенской ярмарки.,протоптаны,False,-0.28490936756134033,-0.10441291332244873
